"target","Attribute1","Attribute2","Attribute3","Attribute4","Attribute5","Attribute6","Attribute7","Attribute8","Attribute9","Attribute10","Attribute11","Attribute12","Attribute13","Attribute14"
5.2,2,7,5665,253,9,5.8,9999,9999,9999,274,9999,9999,9999,1.7
5.3,2,7,4941,294,9,5.9,0.673,9999,3.8,250,0.834,33.9,45.4,2615
5.4,2,7,5439,255,9,6.1,649,3,4.1,250,925,34.1,49.1,2.341
5.4,3,7,4172,265,9,6.5,653,9999,4,250,0.864,29.3,41.3,3.1
5.4,2,7,3201,236,9,5.9,0.681,9999,9999,250,0.926,28.2,36.5,3.2
5.4,2,7,3201,236,9,5.7,773,9999,9999,250,0.926,28.2,36.5,3.2
5.4,2,7,3387,221,9,6.3,0.582,9999,9999,280,1.23,40.8,40.3,2.893
5.4,3,7,3387,221,9,6.6,0.582,9999,9999,280,1.23,40.8,40.3,2.893
5.4,2,7,3996,267,9,6.1,9999,9999,9999,250,0.822,41.1,49.4,2.5
5.5,2,7,5474,325,9,5.4,9999,9999,9999,298,0.949,52,50.2,2.4
5.6,2,7,3996,267,9,6.6,9999,9999,9999,250,853,39.7,47.6,2.5
5.6,2,7,3996,267,9,6.6,9999,9999,9999,250,0.822,41.1,49.4,2.5
5.6,2,7,5665,253,9,5.9,9999,9999,9999,274,9999,9999,9999,2.192
5.6,2,7,5665,253,9,5.9,9999,9999,9999,274,9999,9999,9999,2.192
5.7,2,7,5439,260,9,6.3,629,2.9,4.2,250,0.95,34.9,50.2,2.341
5.7,3,7,4172,250,9,6.9,748,9999,4.1,250,0.92,27.5,38.8,3.1
5.7,3,7,2671,195,9,7.9,629,9999,3.9,250,1.47,14.9,41.2,2812
5.7,2,7,3996,267,9,6.7,9999,9999,9999,250,0.832,40.6,48.8,2.5
5.7,2,7,3239,250,9,6.8,9999,9999,9999,266,1.35,28.5,44.7,2673
5.7,2,7,3239,250,9,7,9999,9999,9999,266,1,40.8,46.2,2.584
5.7,2,7,5341,260,9,7.5,9999,9999,9999,266,0.959,56,46.2,2822
5.7,3,7,2972,210,9,8.2,0.65,9999,9999,250,0.81,27.8,51.4,2339
5.8,2,7,3217,247,9,6.7,9999,9999,9999,270,1.14,36.9,41.6,2763
5.8,2,7,3217,247,9,6.8,9999,9999,9999,265,955,54.3,43.4,2.652
5.8,2,7,3947,168,9,6.5,9999,9999,9999,235,935,43.5,45.7,2615
5.8,3,7,4172,250,9,7.2,748,9999,4.2,250,0.92,27.5,38.8,3.1
5.8,3,7,2671,195,9,8.1,653,9999,4,250,1.47,14.9,41.2,2812
5.9,2,7,3179,185,9,7,618,9999,9999,260,1.33,39.9,40.3,2.893
5.9,2,7,2790,206,9,7.5,9999,9999,9999,260,1.41,29.3,41.6,2763
5.9,2,7,2790,206,9,7.6,9999,9999,9999,255,1.52,41.6,40.4,2847
5.9,2,7,1795,88,9,7.7,9999,9999,9999,202,988,26.9,37.2,3.12
5.9,2,7,6750,312,9,7.9,9999,9999,9999,270,1.44,43,64.6,2.18
5.9,2,7,5439,260,9,6.7,0.71,3,4.2,250,0.95,34.9,50.2,2.341
6,2,7,3387,221,9,6.2,0.582,9999,9999,275,0.944,39.8,42.8,2.7
6,3,7,3387,221,9,6.4,0.582,9999,9999,275,0.944,39.8,42.8,2.7
6,2,7,3239,250,9,7.1,9999,9999,9999,250,972,28.5,44.7,2673
6,2,7,3239,250,9,7.3,9999,9999,9999,250,966,40.8,45,2655
6.1,2,7,5987,290,9,6.8,0.63,3.2,4.5,250,888,47.6,54.2,2.2
6.2,2,7,4398,210,9,7.8,0.673,9999,9999,250,0.94,36.2,51.2,2332
6.2,2,7,3387,221,9,6.5,0.582,9999,9999,275,0.944,39.8,42.8,2.7
6.2,3,7,3387,221,9,6.8,0.582,9999,9999,275,0.944,39.8,42.8,2.7
6.2,2,7,1997,177,9,7.1,0.692,9999,9999,240,0.83,67.6,34.8,3321
6.3,2,7,5786,270,9,7,616,3,4.5,250,9999,9999,9999,2.341
6.3,2,7,5786,270,9,7.3,621,3,4.5,250,0.97,47.5,50.1,2.341
6.3,2,7,6750,286,9,8.6,9999,9999,9999,245,0.947,39.1,64.6,2.18
6.3,3,7,1994,160,9,8,0.663,9999,9999,231,0.999,34.5,41.3,2886
6.3,2,7,4398,210,9,8.3,716,9999,9999,250,0.94,36.2,51.2,2332
6.4,2,7,4266,205,9,7.2,617,3.2,4.7,250,826,33.3,52.6,2.2
6.4,3,7,1781,165,9,8.5,677,9999,4.3,243,1.76,17.7,38.3,3.24
6.4,2,7,4398,210,9,7.9,0.673,9999,9999,250,871,42.9,53.2,2248
6.4,2,7,6750,300,9,8.7,9999,9999,9999,245,0.947,42,64.6,2.18
6.4,3,7,1994,160,9,8.2,0.704,9999,9999,229,991,34.5,41.3,2886
6.5,2,7,4966,225,9,8.1,0.65,3.2,4.7,250,0.824,33.8,54.2,2.2
6.5,2,7,4966,225,9,7.9,621,3.2,4.7,250,0.86,36.6,52.8,2.341
6.5,2,7,4966,225,9,8,621,3.2,4.7,250,0.86,36.6,52.8,2.341
6.5,2,7,4966,225,9,8,616,3.1,4.6,250,9999,9999,9999,2.341
6.5,2,7,4966,220,9,8.1,616,3.1,4.6,250,9999,9999,9999,2.341
6.5,2,7,3179,185,9,7.2,618,9999,9999,255,0.967,38.4,42.2,2.8
6.5,1,7,1998,162,9,8.1,9999,9999,9999,250,1.14,23.7,39.4,2844
6.5,1,7,1998,162,9,8.1,9999,9999,9999,250,986,23.7,44.1,2539
6.5,2,7,5341,260,9,7.9,9999,9999,9999,240,865,56,46.2,2822
6.5,2,7,4398,260,9,9.2,0.921,9999,9999,240,9999,9999,9999,2315
6.6,2,7,4266,205,9,7.9,629,3.2,4.6,250,0.864,35,50.3,2343
6.6,3,7,4172,265,9,6.6,653,9999,4.8,250,0.864,31.7,41.4,2.999
6.6,2,7,2687,162,9,7.8,598,9999,9999,250,0.949,44.1,41.1,2812
6.7,3,7,1781,165,9,8.9,716,9999,4.8,237,1.5,17.7,38.3,3.24
6.7,3,7,4172,250,9,7,748,9999,4.9,250,865,31.6,41.3,2823
6.7,1,7,2959,162,9,8.7,9999,9999,9999,240,0.936,47.7,40.7,2.8
6.7,1,7,2959,162,9,8.7,9999,9999,9999,250,0.974,47.7,40.7,2.8
6.7,2,7,3996,209,9,7.7,9999,9999,9999,251,812,45.9,50.7,2448
6.7,2,7,6750,286,9,9.1,9999,9999,9999,241,932,39.1,64.6,2.18
6.7,1,7,1797,140,9,8,9999,9999,9999,233,1.19,51.5,28.9,3766
6.7,2,7,4398,210,9,8.4,716,9999,9999,250,871,42.9,53.2,2248
6.8,3,7,4266,205,9,8.3,632,3.2,4.8,250,0.94,32.1,46.2,2551
6.8,3,7,1781,154,9,9.1,639,9999,4.8,238,1.72,16.9,38.3,3.24
6.8,2,7,2793,141,9,9.2,677,9999,9999,231,1186,34.5,36.7,3.2
6.8,2,7,5379,240,9,8.3,0.707,9999,9999,250,882,49.2,56.7,2.2
6.8,2,7,5379,240,9,8.5,0.707,9999,9999,250,882,49.2,56.7,2.2
6.8,1,7,2290,165,9,8,9999,9999,9999,250,1.6,20.9,42.9,2673
6.8,2,7,6750,298,9,8.5,0.921,9999,9999,249,9999,9999,9999,2.18
6.8,1,7,4565,224,9,8.3,9999,9999,9999,240,0.83,50.5,49.8,2.527
6.8,3,7,4172,250,9,7.3,748,9999,5,250,865,31.6,41.3,2823
6.8,3,7,5439,255,10,8.5,1061,3.3,4.8,235,0.98,30.5,47.1,2875
6.9,2,7,3199,160,9,8.3,632,3.5,4.9,245,1.18,23.8,42.2,2.7
6.9,2,7,3199,160,9,8.4,632,3.2,4.8,242,0.999,26.9,42.5,2.724
6.9,3,7,4172,228,9,7.7,675,9999,4.9,250,0.788,35.7,52.9,2339
6.9,3,7,4172,220,9,8,613,9999,4.8,250,752,36.2,53.6,2193
6.9,2,7,3498,180,9,8.9,0.673,9999,9999,250,1.57,36.8,40.8,2.9
6.9,2,7,2793,142,9,9,769,9999,9999,225,1113,30.5,36.7,3.2
6.9,2,7,1998,108,9,8.6,9999,9999,9999,215,1119,38.1,32,3613
6.9,1,7,2319,176,9,8.2,624,9999,9999,250,1186,22.6,41.3,2.8
6.9,2,7,2935,124,9,8.4,9999,9999,9999,226,1.5,33.9,39.8,2.876
6.9,2,7,4266,205,9,8.3,0.707,3.3,4.9,243,0.839,35,50.3,2343
7,3,7,4172,228,9,7.9,675,9999,5,250,0.788,35.7,52.9,2339
7,2,7,2793,142,9,9.8,594,9999,9999,242,1114,32.8,39.5,2.9
7,2,7,2793,142,9,9.8,597,9999,5.1,240,1.15,32.8,39.5,2.9
7,2,7,4398,210,9,8.8,0.663,9999,9999,250,862,43.3,53.7,2344
7,2,7,4398,210,9,9,0.663,9999,9999,250,862,43.3,53.7,2344
7,2,7,3996,209,9,8.2,9999,9999,9999,248,0.82,45.9,50.7,2448
7.1,3,7,2671,169,9,9.6,613,9999,5.1,245,1.1,13.9,41.8,2812
7.1,2,7,2793,141,9,9.5,677,9999,9999,229,1.17,39,39,2964
7.1,1,7,2290,165,9,8,9999,9999,9999,245,1.39,20.9,42.9,2673
7.1,2,7,3996,203,9,8.1,9999,9999,9999,240,0.817,47.8,48.1,2483
7.1,2,7,3969,203,9,8.8,581,9999,9999,250,843,46.2,50.3,2459
7.1,3,7,4172,220,9,8.3,748,9999,5.1,250,752,36.2,53.6,2193
7.1,1,7,2319,184,9,8.4,669,9999,9999,250,1145,20.8,42,2.8
7.2,2,7,2295,145,9,9,632,3.5,4.9,240,1.33,19.8,42.2,2.7
7.2,2,7,2793,142,9,9.3,769,9999,9999,223,1.39,34.6,39,2964
7.2,1,7,2319,176,9,8.4,624,9999,9999,240,1.22,30.1,46,2.514
7.2,1,7,2783,200,9,8.1,9999,9999,9999,250,0.95,24.9,51.2,2336
7.2,1,7,1588,116,9,9.1,9999,9999,9999,214,1.51,35.4,33.9,3178
7.2,1,7,2157,156,9,8.5,9999,9999,9999,228,1.26,54.8,30.9,3.711
7.2,3,7,4266,205,9,8.7,0.707,3.3,4.9,243,914,32.1,46.2,2551
7.3,2,7,4266,205,9,8.7,621,3.6,5.3,250,0.83,36.6,52.8,2.341
7.3,2,7,4266,205,9,8.8,621,3.6,5.3,250,0.83,36.6,52.8,2.341
7.3,2,7,2295,145,9,9.2,632,3.2,5,237,1.14,22.4,42.5,2.724
7.3,3,7,2771,142,9,10.1,0.65,9999,5.2,238,1.62,26.9,37.3,3.68
7.3,1,7,1985,147,9,9,9999,9999,9999,235,9999,9999,9999,9999
7.3,1,7,1985,147,9,9,9999,9999,9999,235,1.13,18.9,42.2,2673
7.3,1,7,1855,147,9,8.8,9999,9999,9999,235,1.2,19.3,41.9,2763
7.3,1,7,2492,140,9,9.5,639,9999,9999,230,1.33,41.2,35.3,3242
7.3,1,7,2959,141,9,10.1,9999,9999,9999,225,1.24,45.2,39.2,2853
7.3,1,7,1998,162,9,9.3,9999,9999,9999,243,965,23.5,43.8,2.644
7.3,1,7,1998,162,9,9.1,9999,9999,9999,243,965,23.5,43.8,2.644
7.3,2,7,3996,209,9,8.2,9999,9999,9999,240,777,45.9,50.7,2448
7.3,2,7,3996,209,9,8.6,9999,9999,9999,240,779,45.8,50.5,2448
7.3,3,7,2671,169,9,10,679,9999,5.3,243,1.2,13.9,41.8,2812
7.3,2,7,2793,142,9,10.3,659,9999,5.2,237,1433,25,30.1,3.9
7.3,1,7,1855,147,9,9,9999,9999,9999,235,1.2,19.3,41.9,2763
7.4,2,7,3199,160,9,8.9,617,3.5,5.3,240,927,28.8,45.4,2548
7.4,2,7,4266,205,9,8.2,696,3.6,5.3,250,895,30.8,48.6,2.382
7.4,1,7,1781,132,9,9.4,677,9999,5.5,228,1182,17.4,35.1,3.3
7.4,3,7,1781,132,9,10.2,677,9999,5.1,226,1157,15.7,35.5,3259
7.4,2,7,2687,162,9,8.1,598,9999,9999,245,0.984,37.3,38.9,2975
7.4,1,7,1997,148,9,9.7,9999,9999,9999,235,1.76,21.1,36.4,3.75
7.4,2,7,3996,209,9,8.3,9999,9999,9999,240,779,45.8,50.5,2448
7.4,3,7,2671,184,9,9.8,9999,9999,9999,236,9999,9999,9999,3194
7.4,1,7,2492,140,9,9.8,639,9999,9999,230,1.13,42,36,3242
7.5,1,7,2671,169,9,9.1,613,9999,5.7,247,0.842,14.7,50.6,2325
7.5,1,7,1781,132,9,8.9,639,9999,5.6,228,1.16,18.6,37.5,3.56
7.5,1,7,1781,132,9,8.9,639,9999,5.6,228,1.16,18.6,37.5,3.56
7.5,3,7,1781,132,9,9.9,639,9999,5.2,226,1.154,13.9,35.6,3217
7.5,2,7,2793,142,9,10.6,0.651,9999,9999,240,1.73,33.8,40.7,2.9
7.5,1,7,2319,176,9,9.1,738,9999,9999,235,1115,22.6,41.3,2.8
7.5,2,7,2967,175,9,8.9,726,9999,9999,234,884,41.4,38.9,3.1
7.5,2,7,5379,240,9,9.8,0.921,9999,9999,225,799,48.9,56.3,2315
7.5,1,7,2157,136,9,9.4,9999,9999,9999,228,1.71,42.7,30.4,3534
7.5,2,7,1998,147,9,8.6,9999,9999,9999,235,982,45.3,37.4,3.94
7.5,3,7,2771,142,9,10.3,653,9999,5.3,234,1.44,26.9,37.3,3.68
7.5,1,7,2319,176,9,9999,669,9999,9999,240,0.939,24.3,47.3,2484
7.5,1,7,2319,176,9,9999,669,9999,9999,240,0.939,24.3,47.3,2484
7.5,3,7,4398,210,10,10,9999,9999,9999,206,9999,9999,9999,2912
7.6,2,7,3498,180,9,9.2,0.673,9999,9999,247,835,43.4,51,2344
7.7,1,7,1781,132,9,9.4,9999,9999,9999,229,1.82,17,38.5,3.7
7.7,1,7,2946,140,9,10,0.666,9999,9999,235,1.99,34.1,37.2,3.81
7.7,2,7,1795,107,9,10,648,9999,9999,212,9999,49.1,9999,9999
7.7,1,7,2671,169,9,9.5,635,9999,5.9,245,835,14.7,50.6,2325
7.7,3,7,2671,184,9,9.9,9999,9999,9999,234,9999,9999,9999,2294
7.7,1,7,1998,162,9,9.4,9999,9999,9999,235,934,23.5,43.8,2.644
7.8,2,7,3199,160,9,9.3,9999,9999,9999,245,1.8,27,42.6,2714
7.8,2,8,3996,184,9,10.3,9999,9999,9999,250,1.38,23.7,60.2,2.53
7.8,2,8,3996,184,9,10.4,9999,9999,9999,250,1.38,23.7,60.2,2.53
7.8,2,7,2494,125,9,10,0.686,9999,9999,230,1.12,34.9,37.3,3.1
7.8,2,8,2926,135,9,11.3,639,9999,9999,227,1.17,17.1,51.2,2.3
7.8,1,7,2435,142,9,10.2,624,9999,9999,230,1.91,17,41.3,2.8
7.8,1,7,2959,166,9,9.1,9999,9999,9999,243,1.32,44.3,38,3.46
7.8,1,7,1795,107,9,9.5,9999,9999,9999,205,0.95,32.4,33.6,3213
7.8,1,7,1834,99,9,10.5,9999,9999,9999,210,0.979,44.5,33,3267
7.8,1,7,4565,205,9,9,9999,9999,9999,203,0.61,60.2,59.4,2.118
7.8,1,7,2495,151,9,9.2,0.697,9999,9999,227,893,48.3,39.1,2.9
7.9,2,7,3199,165,9,9.5,629,3.4,5.3,238,0.921,29.2,46.2,2548
7.9,1,7,1781,132,9,9.9,716,9999,5.8,222,1151,17.4,35.1,3.3
7.9,3,7,1781,132,9,10.8,716,9999,9999,220,1126,15.7,35.5,3259
7.9,1,7,1781,132,9,9.5,0.65,9999,9999,231,1.31,17.9,37.3,3.11
7.9,3,7,1781,132,9,10.5,0.65,9999,5.4,230,1.79,15.8,35.5,3259
7.9,1,7,2498,143,9,9.9,557,9999,9999,233,975,29.3,36.7,3.119
7.9,1,7,2946,140,9,10.1,0.666,9999,9999,230,1339,49.2,29.9,3886
7.9,2,7,2793,142,9,11.4,0.673,9999,9999,233,1.92,32.3,38.8,3.1
7.9,2,8,2926,135,9,11.8,0.68,9999,9999,225,1.97,17.1,51.2,2.3
7.9,3,7,2771,142,9,10.7,667,9999,5.4,232,1.25,27.2,37.7,3.68
7.9,1,7,2435,147,9,10.4,669,9999,9999,225,0.97,15.4,41.3,2.8
8,3,7,2771,142,9,11,613,9999,5.7,234,1.34,27.2,37.7,3.68
8,2,7,2494,125,9,11,594,9999,9999,233,1124,31.2,37.7,3.1
8,2,7,2494,125,9,11,597,9999,5.6,231,1111,31.3,37.8,3.1
8,2,8,2926,135,9,11.7,0.651,9999,9999,225,1.11,19.3,50.7,2.4
8,1,7,1985,136,9,9.7,9999,9999,9999,230,992,17.3,42.2,2673
8,1,7,1985,136,9,9.7,9999,9999,9999,230,992,17.3,42.2,2673
8,1,7,2319,176,9,9.2,738,9999,9999,225,1.497,19.3,29.5,3928
8,1,7,1998,113,9,10.5,9999,9999,9999,213,1.14,32.4,32.3,3.4
8,1,7,2959,150,9,10.1,9999,9999,9999,225,768,44.4,46.5,2488
8,3,7,1781,132,9,10.7,0.673,9999,9999,227,1.65,15.8,35.5,3259
8,1,7,2946,140,9,10.4,693,9999,9999,225,1.52,34.1,37.2,3.81
8.1,1,7,3697,191,9,8.6,675,9999,6.1,250,773,34.9,53.9,2294
8.1,1,7,2771,142,9,10.3,613,9999,5.7,236,992,28.6,39.6,2.919
8.1,1,7,2771,142,9,10.6,613,9999,5.7,230,3353,6.1,11.4,1125
8.1,2,7,2793,142,9,10.1,594,9999,9999,237,848,36,50.8,2278
8.1,2,7,2793,142,9,10.1,597,9999,5.9,235,841,36,50.8,2278
8.1,1,7,2946,140,9,10.5,0.686,9999,9999,230,1.11,32.7,38,3.17
8.1,1,7,1781,132,9,9.9,653,9999,9999,228,1.18,17.9,37.3,3.11
8.2,2,7,3199,165,9,10.3,621,3.7,5.8,240,883,30.7,48.5,2548
8.2,2,7,3199,165,9,10.5,621,3.7,5.8,240,883,30.7,48.5,2548
8.2,2,7,1998,120,9,10.8,611,3.8,6,223,1.65,18.6,39.5,2.9
8.2,3,8,3328,165,9,11.3,653,9999,5.9,242,1.73,22.9,56.4,2193
8.2,3,7,2671,169,9,9.9,613,9999,5.6,242,0.814,17.7,51.3,2294
8.2,1,7,1781,110,9,10.7,639,9999,5.8,217,1.11,16.7,37.7,3.84
8.2,3,7,1781,110,9,11.7,639,9999,5.8,215,1.71,15.6,35.2,3.296
8.2,2,8,2926,135,9,11.4,639,9999,9999,227,1.37,21.1,54.7,2136
8.2,2,7,3498,175,9,10.3,0.663,9999,9999,243,0.839,42.5,50,2.5
8.2,2,7,3498,175,9,10.5,0.663,9999,9999,243,0.839,42.5,50,2.5
8.2,1,7,2435,142,9,10.3,624,9999,9999,225,958,22.6,46,2.514
8.2,1,7,2922,147,9,10.6,9999,9999,9999,235,991,37.9,39.5,2975
8.2,1,7,1595,118,9,9.2,9999,9999,9999,207,0.92,56.1,29.6,3733
8.2,1,7,2498,120,9,10.8,9999,9999,9999,225,1.42,38.7,37.5,3.52
8.2,1,7,2988,147,9,9.7,9999,9999,9999,230,0.928,33.7,38.7,3.37
8.2,2,7,2997,163,9,10.2,9999,9999,9999,230,0.939,36,42.2,2722
8.3,2,8,3226,145,9,11.1,629,3.7,5.7,230,1.25,22.3,53.4,2.22
8.3,3,7,3199,165,9,10,632,3.5,5.7,234,0.95,29.2,46.2,2548
8.3,2,7,3199,160,9,10.1,0.64,3.7,5.6,236,912,28.8,45.4,2548
8.3,1,7,2671,169,9,9.3,613,9999,5.9,244,772,18.8,54.5,2.159
8.3,1,7,2962,147,9,10.7,9999,9999,9999,235,1.23,31.3,45.9,2.6
8.3,1,7,1969,114,9,10.9,9999,9999,9999,211,0.96,36.7,34.3,3.172
8.3,1,7,1797,124,9,9.6,9999,9999,9999,223,0.974,49.8,30.1,3.618
8.3,2,7,1998,147,9,8.7,9999,9999,9999,223,0.814,50.9,42.8,2.72
8.3,3,7,2771,142,9,11.4,679,9999,5.9,232,1.25,27.2,37.7,3.68
8.3,1,7,2771,142,9,11,679,9999,5.8,228,3324,6.1,11.4,1125
8.3,2,8,2926,135,9,11.9,0.68,9999,9999,225,1.28,21.1,54.7,2136
8.3,2,8,2926,135,9,12.5,0.694,9999,9999,222,1.95,19.3,50.7,2.4
8.3,1,7,2962,147,9,10.4,9999,9999,9999,235,1.6,25.4,44.3,2.652
8.3,1,7,2435,147,9,9999,669,9999,9999,220,787,17.9,46.6,2484
8.3,1,7,2435,147,9,9999,669,9999,9999,220,787,17.9,46.6,2484
8.4,2,7,2295,142,9,9.5,617,4.1,5.9,234,1.56,21.7,41.8,2.768
8.4,2,7,2295,142,9,9.7,617,3.7,5.8,231,1.22,22.5,42.6,2714
8.4,2,7,3199,165,9,10.7,0.65,3.7,5.7,238,1.22,26.4,41.6,2864
8.4,1,7,2771,142,9,10.8,675,9999,6.1,236,976,29.1,40.3,3.68
8.4,1,7,1781,110,9,11.4,629,9999,5.9,221,1.35,14.5,37.4,3.11
8.4,2,8,2926,135,9,11.7,0.651,9999,9999,225,1.8,24.6,55.8,2136
8.4,2,8,3901,180,9,10.9,685,9999,9999,242,1.6,23.4,60.1,2.94
8.4,1,7,2946,140,9,11.1,639,9999,9999,233,1133,33.7,37.4,3.64
8.4,1,7,1855,147,9,8.8,9999,9999,9999,225,0.923,29,44.3,2611
8.4,1,7,1969,114,9,12,9999,9999,9999,210,981,35.7,33.4,3.4
8.4,1,7,1969,114,9,12,9999,9999,9999,215,1.4,35.7,33.4,3.4
8.4,1,7,2492,140,9,10.6,9999,9999,9999,225,1.5,42.7,35.5,3.257
8.4,1,7,1969,114,9,11.2,9999,9999,9999,216,983,36.7,34.3,3.172
8.4,2,7,2295,142,9,10.1,0.68,4.1,5.7,230,1.35,21.7,41.9,2.768
8.4,2,7,2295,142,9,10.2,0.68,3.9,6,227,1.1,22.6,42.8,2714
8.4,3,7,2671,169,9,10.2,679,9999,5.7,240,0.87,17.7,51.3,2294
8.4,1,7,2771,142,9,10.7,679,9999,6.1,234,0.984,28.6,39.6,2.919
8.4,2,7,2793,142,9,10.5,659,9999,6,232,1.19,27,38,3.42
8.4,1,7,2946,140,9,10.1,0.683,9999,9999,227,1.87,32.7,38,3.17
8.4,1,7,1855,147,9,9,9999,9999,9999,225,0.923,29,44.3,2611
8.4,3,7,1994,125,10,11.7,0.901,9999,9999,198,0.957,24.7,36.9,3286
8.5,2,7,1998,120,9,10.9,611,3.9,6.1,220,1.44,21,39.8,2.882
8.5,3,7,2771,142,9,11.4,675,9999,5.9,235,1.27,27.5,38.1,3.244
8.5,2,7,2494,125,9,11.8,629,9999,9999,228,1.75,31.9,38.6,3.1
8.5,2,7,2962,155,9,10.8,685,9999,9999,243,1.29,28.5,39.4,2997
8.5,1,7,2498,125,9,10.8,557,9999,9999,230,1.62,27,37.3,3.1
8.5,1,7,2498,125,9,11.1,557,9999,9999,230,1.62,27,37.3,3.1
8.5,1,7,1985,136,9,9.7,9999,9999,9999,230,1.15,21.5,39.4,2.9
8.5,1,7,1985,136,9,9.7,9999,9999,9999,230,992,17.3,42.2,2673
8.5,1,7,1985,136,9,9.7,9999,9999,9999,230,1.15,21.5,39.4,2.9
8.5,1,8,2172,85,9,16.1,9999,9999,9999,200,1.4,15.7,44.7,2521
8.5,1,7,1985,136,9,9.7,9999,9999,9999,230,1.61,21.5,39.4,2.9
8.5,1,7,1948,118,9,11,9999,9999,9999,215,1.83,16,38.9,2.8
8.5,1,7,2435,142,9,11.2,738,9999,9999,220,1.44,17,41.3,2.8
8.5,1,7,2959,166,9,9.3,9999,9999,9999,237,1138,50.4,33.6,3446
8.5,1,7,2492,140,9,9.6,639,9999,9999,227,956,51.3,37.7,3.42
8.5,2,7,2967,175,9,9.3,726,9999,9999,226,0.69,50,48.1,2483
8.5,2,7,3253,174,9,9.8,9999,9999,9999,225,0.75,43.9,47.3,2616
8.5,2,7,3253,174,9,10.3,9999,9999,9999,225,0.75,43.9,47.3,2616
8.5,1,7,2997,147,9,9.9,9999,9999,9999,225,1.11,52.2,40.5,2.9
8.5,2,7,2799,145,9,9.7,0.68,3.9,5.7,230,1.3,24.6,39.5,2.936
8.5,1,7,2671,169,9,9.7,635,9999,6.1,242,0.766,18.8,54.5,2.159
8.5,1,7,2495,125,9,11.1,0.697,9999,9999,215,0.9,36.5,38.2,2.9
8.5,2,7,2962,155,9,11.1,726,9999,9999,235,995,28.5,39.4,2997
8.5,1,7,2946,140,9,10.8,735,9999,9999,227,1.91,32.7,37.8,3.28
8.5,1,7,1948,118,9,11.2,9999,9999,9999,215,1.12,15.7,38.2,2.849
8.5,3,7,2435,142,9,11.6,9999,9999,9999,220,1.19,14.5,38.9,2975
8.5,1,7,2492,140,9,10,639,9999,9999,227,938,52.3,38.4,3.42
8.5,1,7,2498,120,9,11.2,9999,9999,9999,215,996,38.7,37.5,3.52
