Unnamed: 0,a4,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla
32,33,0.0,3,1,3,7.8,11.3,20.083,3.02,49.5,53.0,130.75,5.8
33,34,0.0,2,1,2,8.4,9.9,34.5,2.818,3515.0,20.0,47.0,2.3
34,35,0.0,0,1,2,8.27,7.8,29.2,0.05,6400.0,7.4,23.0,0.9
35,36,0.0,3,1,2,8.66,8.4,30.523000000000003,3.444,1911.0,58.875,84.46,3.6
36,37,0.0,0,1,3,8.3,10.9,1.17,0.735,13.5,1.625,3.0,0.2
37,38,0.0,1,1,3,8.0,10.4664624599572,1.45,0.81,10.0,2.5,3.0,0.3
38,39,2.2,0,1,2,8.3,8.9,20.625,3.4139999999999997,228.75,196.62,253.25,12.32
39,40,3.7,1,1,2,8.1,10.5,22.285999999999998,4.071000000000001,178.57001,182.42,255.28,8.957
40,41,1.7,0,1,2,8.0,5.5,77.0,6.096,122.85,143.71001,296.0,3.7
41,42,5.7,3,1,2,8.15,7.1,54.19,3.8289999999999997,647.5700099999999,59.428999999999995,175.04601,13.2
42,43,0.0,0,1,3,8.3,7.7,50.0,8.543,76.0,264.89999,344.60001,22.5
43,44,0.0,1,1,3,8.3,8.8,54.143,7.83,51.428999999999995,276.85001,326.85699,11.84
44,45,0.0,0,1,3,8.4,13.4,69.75,4.555,37.5,10.0,40.667,3.9
45,46,3.2,1,1,3,8.3,12.5,87.0,4.87,22.5,27.0,43.5,3.3
46,47,0.0,2,1,3,8.0,12.1,66.3,4.535,39.0,16.0,39.0,0.8
47,48,0.0,0,1,1,7.792468286019,12.6,9.0,0.23,10.0,5.0,6.0,1.1
48,49,0.0,1,1,2,7.6,9.6,15.0,3.02,40.0,27.0,121.0,2.8
49,50,2.5,2,1,2,7.29,11.21,17.75,3.07,35.0,13.0,20.811999999999998,12.1
50,51,4.6,0,1,2,7.6,10.2,32.3,4.508,192.5,12.75,49.333,7.9
51,52,2.2,3,1,2,8.0,7.9,27.233,1.651,28.333000000000002,7.3,22.9,4.5
52,53,0.0,0,1,3,7.9,11.0,6.167000000000001,1.172,18.333,7.75,11.8,0.5
53,54,2.4,1,1,3,7.9,9.0,5.273,0.91,33.635999999999996,9.0,11.818,0.8
54,55,0.0,0,1,3,6.6,10.8,6.081090204819129,3.245,10.0,1.0,6.5,4.2182012053469
55,56,0.0,1,1,2,5.6,11.8,7.64098570361906,2.22,5.0,1.0,1.0,1.07214792040487
56,57,11.5,2,1,2,5.7,10.8,11.8851652911578,2.55,10.0,1.0,4.0,3.0675788346012003
57,58,28.8,1,1,3,6.6,9.5,20.0574612976049,1.32,20.0,1.0,6.0,6.02909288669881
58,59,13.4,3,1,3,6.6,10.8,7.07766148318143,2.64,10.0,2.0,11.0,0.798298822299477
59,60,0.0,2,1,2,6.6,11.3,9.98538571882485,4.17,10.0,1.0,6.0,2.51049422566279
60,61,0.0,1,1,2,6.5,10.4,9.734727601437369,5.97,10.0,2.0,14.0,4.23340112158487
61,63,0.0,2,1,3,7.83,11.7,4.083,1.328,18.0,3.333,6.667000000000001,1.04416870664555
62,64,0.0,1,1,3,7.57,10.8,4.575,1.203,27.5,2.0,6.75,1.0
63,65,0.0,3,1,3,7.19,11.7,4.3260000000000005,1.474,160.0,2.5,7.2,0.3
64,66,1.4,0,1,3,7.44,10.1,2.9330000000000003,0.77,15.0,1.3330000000000002,6.0,0.6
65,67,2.2,1,1,3,7.14,9.8,3.275,0.9229999999999999,15.0,1.25,10.75,2.5
66,68,0.0,3,1,3,7.0,12.1,3.136,1.208,16.2,1.8,2.5,0.5
67,69,7.6,0,1,2,7.5,1.5,32.4,0.9209999999999999,1386.25,220.75,351.60001,10.0
68,70,3.0,1,1,2,7.5,1.8,29.775,1.051,2082.8501,209.85699,313.60001,1.0
69,71,11.0,3,1,2,7.8,7.1,32.54,1.72,2167.37012,151.125,279.06601,13.1
70,72,2.2,2,2,2,8.5,8.1,38.125,3.85,225.0,45.0,152.33299,5.2
71,73,0.0,3,2,2,7.925,10.2,34.037,9.08,109.0,55.0,58.623000000000005,11.6
72,74,4.6,0,2,2,8.1,8.1,136.0,3.773,245.0,136.75,249.25,20.87
73,75,3.7,1,2,2,8.2,6.8,129.375,3.3160000000000003,271.25,100.0,233.5,13.0
74,76,1.0,1,2,3,9.1,9.4,35.75,5.164,32.5,85.5,215.5,18.37
75,77,1.0,2,2,2,8.1,9.8,29.5,1.287,224.28599999999997,25.166999999999998,102.333,3.6
76,78,3.4,0,2,2,8.0,5.9,27.4,0.735,133.636,36.0,105.727,3.0
77,79,11.3,1,2,2,8.0,3.3,26.76,0.6579999999999999,165.0,37.375,111.375,3.0
78,80,3.4,0,2,3,7.5,9.2,11.0,3.31,101.0,26.6,108.0,1.3
79,81,4.6,1,2,3,7.4,9.8,11.0,3.235,255.0,38.75,56.667,2.0
80,82,0.0,2,2,3,7.3,11.7,10.4,4.93,130.0,10.8,60.0,4.3
81,83,1.0,0,2,3,7.4,8.9,13.5,5.442,123.333,27.666999999999998,104.0,21.0
82,84,0.0,3,2,3,7.4,11.17,12.145999999999999,6.188,89.6,32.0,69.93,3.1
83,85,5.0,2,2,2,7.5,10.8,31.0,4.408,737.5,111.25,214.0,2.9
84,86,4.6,0,2,2,7.6,6.0,53.0,3.734,914.0,137.60001,254.60001,4.3
85,87,2.6,3,2,2,7.4,10.77,36.248000000000005,3.73,429.20000999999996,57.6,169.00101,3.2
86,88,2.4,0,2,2,7.8,3.6,48.667,4.03,5738.33008,412.33301,607.16699,4.3
87,89,1.0,3,2,2,7.6,9.7,53.102,7.16,4073.3300799999997,282.16699,624.73297,6.8
88,90,0.0,0,2,2,8.5,8.6,125.6,3.778,124.167,197.83299,303.33301,40.0
89,91,0.0,1,2,2,8.7,9.4,173.75,3.318,101.25,267.75,391.75,3.5
90,92,0.0,3,2,2,8.1,10.7,94.405,4.698,153.0,191.75,265.25,7.3
91,93,1.7,0,2,3,8.8,8.5,53.333,5.132000000000001,96.667,120.5,232.83299,31.0
92,94,1.6,1,2,3,7.8,10.5,70.0,2.443,98.333,144.66701,244.0,9.0
93,95,0.0,3,2,3,7.9,11.8,63.51,4.94,137.0,159.5,218.0,6.5
94,96,4.4,2,2,1,8.5,10.5,56.717,0.33,215.71400000000003,23.0,138.5,20.829
95,97,0.0,0,2,1,9.1,5.4,61.05,0.308,105.556,104.22200000000001,239.0,72.47800000000001
96,98,0.0,1,2,1,8.9,4.5,57.75,0.267,155.0,97.333,235.66701,98.81700000000001
97,99,6.8,0,2,3,7.9,6.3,101.875,3.978,153.75,51.75,205.875,2.0
98,100,1.2,3,2,3,7.8,8.2,85.98200000000001,6.2,421.66699000000006,31.333000000000002,211.66701,21.9
99,101,3.5,0,2,2,7.7,7.1,63.625,3.14,122.5,28.625,186.5,30.0
100,102,4.3,1,2,2,7.8,6.5,82.111,2.603,215.55599999999998,12.889000000000001,154.125,5.2
101,103,6.6,0,2,1,7.7,5.3,65.333,2.8989999999999996,371.11099,51.111000000000004,183.66701,17.2
102,104,5.3,3,2,1,7.5,8.8,58.331,8.687999999999999,758.75,104.5,292.625,3.0
103,105,1.4,2,2,1,7.6,10.0,49.625,5.456,308.75,38.625,285.71398999999997,75.0
104,106,0.0,0,2,1,8.7,7.4,47.778,2.316,38.111,24.666999999999998,201.778,3.0
105,107,0.0,3,2,1,7.7,11.1,47.229,8.759,239.0,54.0,275.14301,65.7
106,108,1.7,2,2,3,8.3,11.1,41.5,4.665,931.83301,39.0,124.2,13.1
107,109,12.7,0,2,3,8.43,6.0,40.167,2.67,723.66699,60.833,141.83299,25.0
108,110,0.0,3,2,3,8.16,11.1,32.056,5.694,461.875,71.0,132.54601,15.0
109,111,0.0,0,2,3,8.7,9.8,5.888999999999999,1.534,51.111000000000004,9.667,17.333,1.0
110,112,0.0,1,2,3,8.2,11.3,7.25,1.875,25.0,6.5,26.0,0.3
111,113,0.0,3,2,3,8.5,11.8,7.837999999999999,1.732,206.53798999999998,8.692,16.662,2.1
112,114,2.1,1,2,2,7.8,6.0,53.425,0.381,118.571,37.857,102.571,1.2
113,115,0.0,3,2,2,8.0,9.7,57.848,0.461,217.75,37.0,86.99700000000001,3.0
114,116,0.0,0,2,3,9.7,10.8,0.222,0.406,10.0,22.444000000000003,10.111,3.2780684372101803
115,117,0.0,3,2,3,8.6,11.62,1.5490000000000002,0.445,25.833000000000002,16.833,18.293,1.4
116,118,0.0,2,2,2,8.3,11.6,5.83,0.701,12.727,3.545,13.2,3.2
117,119,0.0,1,2,1,8.4,5.3,74.667,3.9,131.66701,261.60001,432.909,24.916999999999998
118,120,0.0,3,2,1,8.2,6.6,131.39999,4.188,92.0,238.2,320.39999,6.8
119,121,0.0,0,2,2,8.2,9.4,45.273,7.195,345.45499,144.0,287.0,9.882
120,122,0.0,1,2,2,8.1,7.1,42.636,5.078,56.364,166.72701,262.72699,17.2
121,123,0.0,3,2,2,8.1,9.0,48.428999999999995,6.64,128.571,181.0,222.28599999999997,6.428999999999999
122,124,1.9,0,2,3,7.4,10.7,11.818,2.1630000000000003,170.90900000000002,36.909,122.0,5.555
123,125,2.6,1,2,3,8.3,9.7,10.556,1.921,65.556,61.556000000000004,127.22200000000001,5.233
124,126,1.9,3,2,3,8.6,10.7,12.0,2.231,43.75,62.625,89.625,2.15
125,127,0.0,0,2,2,9.1,11.6,31.090999999999998,5.099,246.364,55.0,284.0,88.255
126,128,0.0,1,2,2,9.0,6.9,28.333000000000002,2.9539999999999997,76.667,102.333,277.33301,110.456
127,129,4.1,3,2,2,8.3,10.0,30.125,3.7260000000000004,102.5,75.875,177.625,50.225
128,130,1.9,0,2,3,8.5,10.1,10.936,1.335,236.0,34.635999999999996,72.9,11.1
129,131,2.1,1,2,3,8.3,7.7,10.078,1.212,103.333,48.667,82.444,2.0
130,132,0.0,3,2,3,7.3,10.5,11.088,1.374,92.375,48.625,66.75,3.3
131,133,0.0,0,2,2,7.9,9.8,194.75,6.513,3466.6599100000003,23.0,173.75,15.3
132,134,8.3,1,2,2,7.9,8.3,391.5,6.045,380.0,173.0,317.0,5.5
133,135,0.0,2,2,2,8.0,11.9,130.67,6.54,196.0,75.0,84.0,4.5
134,136,0.0,1,2,2,8.0,9.2,39.0,4.86,120.0,187.0,213.0,2.0
135,137,0.0,2,2,2,8.1,11.7,35.66,5.13,46.5,49.0,88.5,2.5
136,138,1.3,0,2,1,8.43,9.9,37.6,0.826,124.0,32.5,115.0,11.7
137,139,4.0,3,2,1,8.1,6.2,39.0,0.6729999999999999,112.85700000000001,60.0,98.14299999999999,2.0
138,140,0.0,0,2,2,7.9,11.2,49.9,9.773,505.0,67.5,143.75,5.45
139,141,0.0,3,2,2,8.1,6.2,51.113,5.099,175.0,132.5,197.14301,6.4
140,142,5.0,1,2,3,7.8,9.5,8.3,1.67,34.0,16.8,35.2,1.0
141,143,1.0,2,2,3,7.9,10.5,10.207,2.3040000000000003,132.25,10.583,23.485,2.0
142,144,6.2,0,2,1,8.0,4.5,79.077,8.984,920.0,70.0,200.231,19.4
143,145,0.0,1,2,1,7.6,6.3,81.333,9.715,196.66701,77.333,147.83299,3.0
144,146,7.7,2,2,1,7.8,6.5,64.093,7.74,1990.16003,47.5,276.0,8.1
145,147,1.1,0,2,3,8.22,8.1,41.25,1.415,172.5,46.667,123.333,30.4
146,148,3.5,2,2,3,8.3,9.9,40.226,1.587,235.0,33.8,75.207,23.8
147,149,1.4,0,2,3,8.47,9.0,46.167,2.102,84.667,48.0,116.2,7.3
148,150,0.0,1,2,3,8.4,4.9,47.0,0.536,91.833,109.0,188.66701,32.0
149,151,0.0,2,2,3,8.87,11.0,41.163000000000004,2.273,54.75,39.0,72.696,22.7
150,152,1.2,3,2,3,7.7,4.4,53.0,2.31,90.0,22.2,116.2,16.0
151,153,1.2,2,2,3,7.3,11.8,44.205,45.65,24064.0,44.0,34.0,53.1
152,154,1.8,1,2,2,7.9,6.0,127.833,2.68,176.66701,27.5,76.333,2.1
153,155,1.2,2,2,2,7.8,10.53,100.83,5.41,486.5,24.0,58.373999999999995,27.5
154,156,6.9,1,3,1,7.8,3.2,94.0,4.908,1131.66003,175.66701,361.0,28.566999999999997
155,157,5.0,3,3,1,7.6,4.9,69.0,3.685,1495.0,234.5,236.0,22.5
156,158,0.0,1,3,1,8.6,3.6,50.0,0.376,134.0,54.1,125.8,26.8
157,159,0.0,2,3,1,8.4,10.6,19.22,1.655,96.833,20.666999999999998,54.916000000000004,20.6
158,160,0.0,0,3,1,8.3,11.5,26.0,1.87,62.5,30.75,75.333,34.75
159,161,2.2,1,3,1,9.0,5.8,70.3623993111891,0.9,142.0,102.0,186.0,68.05
160,162,0.0,1,3,1,9.5,5.7,44.0,0.102,146.66701,151.33299,252.5,93.68299999999999
161,163,0.0,3,3,1,8.8,8.8,43.0,0.13,103.333,180.66701,269.66699,92.667
162,164,0.0,2,3,1,8.84,12.9,43.09,0.846,52.2,8.6,46.438,81.54
163,165,2.4,0,3,3,7.3,9.9,16.0,4.82,101.667,14.667,85.0,2.0
164,166,0.0,2,3,3,7.4,10.68,22.35,5.414,244.60001,66.4,171.27200000000002,3.8
165,167,0.0,1,3,1,9.1,4.3,82.85700000000001,0.86,137.27299,102.36399999999999,232.89999,54.367
166,168,0.0,2,3,1,8.53,11.1,63.292,1.726,227.60001,84.3,146.452,21.22
167,169,1.2,0,3,1,8.56,8.7,43.97,4.053,643.0,221.89999,246.66701,14.7
168,170,0.0,2,3,1,8.06,8.3,38.902,3.678,627.27301,205.636,219.90900000000002,6.209
169,171,2.0,0,3,2,8.24,6.1,95.367,3.5610000000000004,1168.0,236.39999,272.22198,20.578000000000003
170,172,2.7,3,3,2,7.91,6.2,151.83299,3.923,1081.66003,346.16699,388.16699,5.083
171,173,2.2,0,3,2,8.21,9.3,104.818,3.908,124.36399999999999,82.22200000000001,167.89999,5.609
172,174,4.0,1,3,2,8.5,7.3,71.444,2.512,66.667,64.389,137.778,9.384
173,175,0.0,1,3,2,8.6,10.6,208.364,4.459,197.90900000000002,87.333,194.10001,27.618000000000002
174,176,0.0,0,3,2,9.06,6.35,187.183,3.3510000000000004,54.778,159.16701,221.278,20.8
175,177,0.0,2,3,3,8.7,10.7,4.545,0.941,32.727,16.0,21.3,1.1
176,178,0.0,1,3,3,8.1,10.7,3.5,1.013,12.5,12.75,11.0,0.6
177,179,0.0,3,3,3,8.4,10.29,5.3260000000000005,0.996,53.846000000000004,7.667000000000001,14.354000000000001,0.8
178,180,0.0,1,3,2,8.6,10.1,2.1109999999999998,0.6629999999999999,11.110999999999999,3.222,7.0,1.3
179,181,0.0,3,3,2,8.2,9.5,2.2,0.672,10.0,3.8,6.2,0.8
180,182,0.0,0,3,2,8.5,10.5,2.75,0.758,10.5,4.0,7.654,4.0
181,183,0.0,3,3,2,8.3,10.0,3.86,0.866,32.0,6.0,16.0,2.86
182,184,0.0,0,3,3,8.0,10.9,9.055,0.825,40.0,21.083000000000002,56.091,14.270961224900901
183,185,0.0,3,3,3,8.1,10.2,7.6129999999999995,0.6990000000000001,32.5,26.625,52.875,2.0
184,186,0.0,0,3,1,8.7,10.8,39.109,6.225,161.81798999999998,104.727,228.364,46.075
185,187,0.0,0,3,1,8.7,11.7,22.455,3.765,88.182,41.3,85.4,17.491
186,188,0.0,3,3,1,8.4,8.2,23.25,2.805,43.75,51.125,87.125,14.775
187,189,0.0,2,3,1,8.55,11.0,22.32,3.14,82.1,45.9,101.455,18.33
188,190,1.7,1,3,2,8.5,7.6,12.777999999999999,1.8730000000000002,17.778,50.888999999999996,127.0,24.555999999999997
189,191,0.0,2,3,2,8.7,11.4,15.540999999999999,2.323,103.0,34.5,81.558,5.62
190,192,0.0,0,3,2,8.4,10.5,12.182,1.5190000000000001,65.455,19.727,50.455,8.155
191,193,0.0,1,3,2,8.2,8.2,7.332999999999999,1.003,37.778,19.111,120.889,5.111000000000001
192,194,0.0,2,3,2,8.58,11.1,23.825,3.617,72.6,51.111000000000004,91.111,22.9
193,195,0.0,3,3,2,8.5,7.9,12.444,2.5860000000000003,96.667,19.111,61.443999999999996,6.167000000000001
194,196,0.0,2,3,2,8.4,8.4,17.375,3.833,83.75,53.625,79.75,2.338
195,197,0.0,1,3,2,8.3,10.6,14.32,3.2,125.333,35.333,75.904,4.667
196,198,1.0,2,3,2,8.2,7.0,139.989,2.978,60.11,78.333,140.22,31.738000000000003
197,200,7.8,3,3,2,8.5,6.7,82.852,2.8,27.069000000000003,64.0,140.517,18.3
