"","ConcreteCompressiveStrength","Cement","BlastFurnaceSlag","FlyAsh","Water","Superplasticizer","CoarseAggregate","FineAggregate","Age"
"149",58.8,531.3,0,0,141.8,28.2,852.1,893.7,56
"150",64.3,425,106.3,0,153.5,16.5,852.1,887.1,56
"151",66.1,318.8,212.5,0,155.7,14.3,852.1,880.4,56
"152",73.7,401.8,94.7,0,147.4,11.4,946.8,852.1,56
"153",77.3,362.6,189,0,164.9,11.6,944.7,755.8,56
"154",80.2,323.7,282.8,0,183.8,10.3,942.7,659.9,56
"155",54.9,379.5,151.2,0,153.9,15.9,1134.3,605,56
"156",77.3,362.6,189,0,164.9,11.6,944.7,755.8,56
"157",72.99,286.3,200.9,0,144.7,11.2,1004.6,803.7,56
"158",77.3,362.6,189,0,164.9,11.6,944.7,755.8,56
"159",71.7,439,177,0,186,11.1,884.9,707.9,56
"160",79.4,389.9,189,0,145.9,22,944.7,755.8,56
"161",77.3,362.6,189,0,164.9,11.6,944.7,755.8,56
"162",59.89,337.9,189,0,174.9,9.5,944.7,755.8,56
"163",64.9,374,189.2,0,170.1,10.1,926.1,756.7,91
"164",66.6,313.3,262.2,0,175.5,8.6,1046.9,611.8,91
"165",65.2,425,106.3,0,153.5,16.5,852.1,887.1,91
"166",66.7,425,106.3,0,151.4,18.6,936,803.7,91
"167",62.5,375,93.8,0,126.6,23.4,852.1,992.6,91
"168",74.19,475,118.8,0,181.1,8.9,852.1,781.5,91
"169",70.7,469,117.2,0,137.8,32.2,852.1,840.5,91
"170",65.2,425,106.3,0,153.5,16.5,852.1,887.1,91
"171",57.6,388.6,97.1,0,157.9,12.1,852.1,925.7,91
"172",59.2,531.3,0,0,141.8,28.2,852.1,893.7,91
"173",65.2,425,106.3,0,153.5,16.5,852.1,887.1,91
"174",68.1,318.8,212.5,0,155.7,14.3,852.1,880.4,91
"175",75.5,401.8,94.7,0,147.4,11.4,946.8,852.1,91
"176",79.3,362.6,189,0,164.9,11.6,944.7,755.8,91
"177",56.5,379.5,151.2,0,153.9,15.9,1134.3,605,91
"178",79.3,362.6,189,0,164.9,11.6,944.7,755.8,91
"179",76.8,286.3,200.9,0,144.7,11.2,1004.6,803.7,91
"180",79.3,362.6,189,0,164.9,11.6,944.7,755.8,91
"181",73.3,439,177,0,186,11.1,884.9,707.9,91
"182",82.6,389.9,189,0,145.9,22,944.7,755.8,91
"183",79.3,362.6,189,0,164.9,11.6,944.7,755.8,91
"184",67.8,337.9,189,0,174.9,9.5,944.7,755.8,91
"185",11.58,222.4,0,96.7,189.3,4.5,967.1,870.3,3
"186",24.45,222.4,0,96.7,189.3,4.5,967.1,870.3,14
"187",24.89,222.4,0,96.7,189.3,4.5,967.1,870.3,28
"188",29.45,222.4,0,96.7,189.3,4.5,967.1,870.3,56
"189",40.71,222.4,0,96.7,189.3,4.5,967.1,870.3,100
"190",10.38,233.8,0,94.6,197.9,4.6,947,852.2,3
"191",22.14,233.8,0,94.6,197.9,4.6,947,852.2,14
"192",22.84,233.8,0,94.6,197.9,4.6,947,852.2,28
"193",27.66,233.8,0,94.6,197.9,4.6,947,852.2,56
"194",34.56,233.8,0,94.6,197.9,4.6,947,852.2,100
"195",12.45,194.7,0,100.5,165.6,7.5,1006.4,905.9,3
"196",24.99,194.7,0,100.5,165.6,7.5,1006.4,905.9,14
"197",25.72,194.7,0,100.5,165.6,7.5,1006.4,905.9,28
"198",33.96,194.7,0,100.5,165.6,7.5,1006.4,905.9,56
"199",37.34,194.7,0,100.5,165.6,7.5,1006.4,905.9,100
"200",15.04,190.7,0,125.4,162.1,7.8,1090,804,3
"201",21.06,190.7,0,125.4,162.1,7.8,1090,804,14
"202",26.4,190.7,0,125.4,162.1,7.8,1090,804,28
"203",35.34,190.7,0,125.4,162.1,7.8,1090,804,56
"204",40.57,190.7,0,125.4,162.1,7.8,1090,804,100
"205",12.47,212.1,0,121.6,180.3,5.7,1057.6,779.3,3
"206",20.92,212.1,0,121.6,180.3,5.7,1057.6,779.3,14
"207",24.9,212.1,0,121.6,180.3,5.7,1057.6,779.3,28
"208",34.2,212.1,0,121.6,180.3,5.7,1057.6,779.3,56
"209",39.61,212.1,0,121.6,180.3,5.7,1057.6,779.3,100
"210",10.03,230,0,118.3,195.5,4.6,1029.4,758.6,3
"211",20.08,230,0,118.3,195.5,4.6,1029.4,758.6,14
"212",24.48,230,0,118.3,195.5,4.6,1029.4,758.6,28
"213",31.54,230,0,118.3,195.5,4.6,1029.4,758.6,56
"214",35.34,230,0,118.3,195.5,4.6,1029.4,758.6,100
"215",9.45,190.3,0,125.2,161.9,9.9,1088.1,802.6,3
"216",22.72,190.3,0,125.2,161.9,9.9,1088.1,802.6,14
"217",28.47,190.3,0,125.2,161.9,9.9,1088.1,802.6,28
"218",38.56,190.3,0,125.2,161.9,9.9,1088.1,802.6,56
"219",40.39,190.3,0,125.2,161.9,9.9,1088.1,802.6,100
"220",10.76,166.1,0,163.3,176.5,4.5,1058.6,780.1,3
"221",25.48,166.1,0,163.3,176.5,4.5,1058.6,780.1,14
"222",21.54,166.1,0,163.3,176.5,4.5,1058.6,780.1,28
"223",28.63,166.1,0,163.3,176.5,4.5,1058.6,780.1,56
"224",33.54,166.1,0,163.3,176.5,4.5,1058.6,780.1,100
"225",7.75,168,42.1,163.8,121.8,5.7,1058.7,780.1,3
"226",17.82,168,42.1,163.8,121.8,5.7,1058.7,780.1,14
"227",24.24,168,42.1,163.8,121.8,5.7,1058.7,780.1,28
"228",32.85,168,42.1,163.8,121.8,5.7,1058.7,780.1,56
"229",39.23,168,42.1,163.8,121.8,5.7,1058.7,780.1,100
"230",18,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3
"231",30.39,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14
"232",45.71,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28
"233",50.77,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56
"234",53.9,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100
"235",13.18,213.8,98.1,24.5,181.7,6.7,1066,785.5,3
"236",17.84,213.8,98.1,24.5,181.7,6.7,1066,785.5,14
"237",40.23,213.8,98.1,24.5,181.7,6.7,1066,785.5,28
"238",47.13,213.8,98.1,24.5,181.7,6.7,1066,785.5,56
"239",49.97,213.8,98.1,24.5,181.7,6.7,1066,785.5,100
"240",13.36,229.7,0,118.2,195.2,6.1,1028.1,757.6,3
"241",22.32,229.7,0,118.2,195.2,6.1,1028.1,757.6,14
"242",24.54,229.7,0,118.2,195.2,6.1,1028.1,757.6,28
"243",31.35,229.7,0,118.2,195.2,6.1,1028.1,757.6,56
"244",40.86,229.7,0,118.2,195.2,6.1,1028.1,757.6,100
"245",19.93,238.1,0,94.1,186.7,7,949.9,847,3
"246",25.69,238.1,0,94.1,186.7,7,949.9,847,14
"247",30.23,238.1,0,94.1,186.7,7,949.9,847,28
"248",39.59,238.1,0,94.1,186.7,7,949.9,847,56
"249",44.3,238.1,0,94.1,186.7,7,949.9,847,100
"250",13.82,250,0,95.7,187.4,5.5,956.9,861.2,3
"251",24.92,250,0,95.7,187.4,5.5,956.9,861.2,14
"252",29.22,250,0,95.7,187.4,5.5,956.9,861.2,28
"253",38.33,250,0,95.7,187.4,5.5,956.9,861.2,56
"254",42.35,250,0,95.7,187.4,5.5,956.9,861.2,100
"255",13.54,212.5,0,100.4,159.3,8.7,1007.8,903.6,3
"256",26.31,212.5,0,100.4,159.3,8.7,1007.8,903.6,14
"257",31.64,212.5,0,100.4,159.3,8.7,1007.8,903.6,28
"258",42.55,212.5,0,100.4,159.3,8.7,1007.8,903.6,56
"259",42.92,212.5,0,100.4,159.3,8.7,1007.8,903.6,100
"260",13.33,212.6,0,100.4,159.4,10.4,1003.8,903.8,3
"261",25.37,212.6,0,100.4,159.4,10.4,1003.8,903.8,14
"262",37.4,212.6,0,100.4,159.4,10.4,1003.8,903.8,28
"263",44.4,212.6,0,100.4,159.4,10.4,1003.8,903.8,56
"264",47.74,212.6,0,100.4,159.4,10.4,1003.8,903.8,100
"265",19.52,212,0,124.8,159,7.8,1085.4,799.5,3
"266",31.35,212,0,124.8,159,7.8,1085.4,799.5,14
"267",38.5,212,0,124.8,159,7.8,1085.4,799.5,28
"268",45.08,212,0,124.8,159,7.8,1085.4,799.5,56
"269",47.82,212,0,124.8,159,7.8,1085.4,799.5,100
"270",15.44,231.8,0,121.6,174,6.7,1056.4,778.5,3
"271",26.77,231.8,0,121.6,174,6.7,1056.4,778.5,14
"272",33.73,231.8,0,121.6,174,6.7,1056.4,778.5,28
"273",42.7,231.8,0,121.6,174,6.7,1056.4,778.5,56
"274",45.84,231.8,0,121.6,174,6.7,1056.4,778.5,100
"275",17.22,251.4,0,118.3,188.5,5.8,1028.4,757.7,3
"276",29.93,251.4,0,118.3,188.5,5.8,1028.4,757.7,14
"277",29.65,251.4,0,118.3,188.5,5.8,1028.4,757.7,28
"278",36.97,251.4,0,118.3,188.5,5.8,1028.4,757.7,56
"279",43.58,251.4,0,118.3,188.5,5.8,1028.4,757.7,100
"280",13.12,251.4,0,118.3,188.5,6.4,1028.4,757.7,3
"281",24.43,251.4,0,118.3,188.5,6.4,1028.4,757.7,14
"282",32.66,251.4,0,118.3,188.5,6.4,1028.4,757.7,28
"283",36.64,251.4,0,118.3,188.5,6.4,1028.4,757.7,56
"284",44.21,251.4,0,118.3,188.5,6.4,1028.4,757.7,100
"285",13.62,181.4,0,167,169.6,7.6,1055.6,777.8,3
"286",21.6,181.4,0,167,169.6,7.6,1055.6,777.8,14
"287",27.77,181.4,0,167,169.6,7.6,1055.6,777.8,28
"288",35.57,181.4,0,167,169.6,7.6,1055.6,777.8,56
"289",45.37,181.4,0,167,169.6,7.6,1055.6,777.8,100
"290",7.32,182,45.2,122,170.2,8.2,1059.4,780.7,3
"291",21.5,182,45.2,122,170.2,8.2,1059.4,780.7,14
"292",31.27,182,45.2,122,170.2,8.2,1059.4,780.7,28
"293",43.5,182,45.2,122,170.2,8.2,1059.4,780.7,56
"294",48.67,182,45.2,122,170.2,8.2,1059.4,780.7,100
"295",7.4,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,3
"296",23.51,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14
"297",31.12,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28
"298",39.15,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56
"299",48.15,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100
"300",22.5,290.4,0,96.2,168.1,9.4,961.2,865,3
"301",34.67,290.4,0,96.2,168.1,9.4,961.2,865,14
"302",34.74,290.4,0,96.2,168.1,9.4,961.2,865,28
"303",45.08,290.4,0,96.2,168.1,9.4,961.2,865,56
"304",48.97,290.4,0,96.2,168.1,9.4,961.2,865,100
"305",23.14,277.1,0,97.4,160.6,11.8,973.9,875.6,3
"306",41.89,277.1,0,97.4,160.6,11.8,973.9,875.6,14
"307",48.28,277.1,0,97.4,160.6,11.8,973.9,875.6,28
"308",51.04,277.1,0,97.4,160.6,11.8,973.9,875.6,56
"309",55.64,277.1,0,97.4,160.6,11.8,973.9,875.6,100
"310",22.95,295.7,0,95.6,171.5,8.9,955.1,859.2,3
"311",35.23,295.7,0,95.6,171.5,8.9,955.1,859.2,14
"312",39.94,295.7,0,95.6,171.5,8.9,955.1,859.2,28
"313",48.72,295.7,0,95.6,171.5,8.9,955.1,859.2,56
"314",52.04,295.7,0,95.6,171.5,8.9,955.1,859.2,100
"315",21.02,251.8,0,99.9,146.1,12.4,1006,899.8,3
"316",33.36,251.8,0,99.9,146.1,12.4,1006,899.8,14
"317",33.94,251.8,0,99.9,146.1,12.4,1006,899.8,28
"318",44.14,251.8,0,99.9,146.1,12.4,1006,899.8,56
"319",45.37,251.8,0,99.9,146.1,12.4,1006,899.8,100
"320",15.36,249.1,0,98.8,158.1,12.8,987.8,889,3
"321",28.68,249.1,0,98.8,158.1,12.8,987.8,889,14
"322",30.85,249.1,0,98.8,158.1,12.8,987.8,889,28
"323",42.03,249.1,0,98.8,158.1,12.8,987.8,889,56
"324",51.06,249.1,0,98.8,158.1,12.8,987.8,889,100
"325",21.78,252.3,0,98.8,146.3,14.2,987.8,889,3
"326",42.29,252.3,0,98.8,146.3,14.2,987.8,889,14
"327",50.6,252.3,0,98.8,146.3,14.2,987.8,889,28
"328",55.83,252.3,0,98.8,146.3,14.2,987.8,889,56
"329",60.95,252.3,0,98.8,146.3,14.2,987.8,889,100
"330",23.52,246.8,0,125.1,143.3,12,1086.8,800.9,3
"331",42.22,246.8,0,125.1,143.3,12,1086.8,800.9,14
"332",52.5,246.8,0,125.1,143.3,12,1086.8,800.9,28
"333",60.32,246.8,0,125.1,143.3,12,1086.8,800.9,56
"334",66.42,246.8,0,125.1,143.3,12,1086.8,800.9,100
"335",23.8,275.1,0,121.4,159.5,9.9,1053.6,777.5,3
"336",38.77,275.1,0,121.4,159.5,9.9,1053.6,777.5,14
"337",51.33,275.1,0,121.4,159.5,9.9,1053.6,777.5,28
"338",56.85,275.1,0,121.4,159.5,9.9,1053.6,777.5,56
"339",58.61,275.1,0,121.4,159.5,9.9,1053.6,777.5,100
"340",21.91,297.2,0,117.5,174.8,9.5,1022.8,753.5,3
"341",36.99,297.2,0,117.5,174.8,9.5,1022.8,753.5,14
"342",47.4,297.2,0,117.5,174.8,9.5,1022.8,753.5,28
"343",51.96,297.2,0,117.5,174.8,9.5,1022.8,753.5,56
"344",56.74,297.2,0,117.5,174.8,9.5,1022.8,753.5,100
"345",17.57,213.7,0,174.7,154.8,10.2,1053.5,776.4,3
"346",33.73,213.7,0,174.7,154.8,10.2,1053.5,776.4,14
"347",40.15,213.7,0,174.7,154.8,10.2,1053.5,776.4,28
"348",46.64,213.7,0,174.7,154.8,10.2,1053.5,776.4,56
"349",50.08,213.7,0,174.7,154.8,10.2,1053.5,776.4,100
"350",17.37,213.5,0,174.2,154.6,11.7,1052.3,775.5,3
"351",33.7,213.5,0,174.2,154.6,11.7,1052.3,775.5,14
"352",45.94,213.5,0,174.2,154.6,11.7,1052.3,775.5,28
"353",51.43,213.5,0,174.2,154.6,11.7,1052.3,775.5,56
"354",59.3,213.5,0,174.2,154.6,11.7,1052.3,775.5,100
"355",30.45,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,3
"356",47.71,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14
"357",63.14,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,28
"358",66.82,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,56
"359",66.95,277.2,97.8,24.5,160.7,11.2,1061.7,782.5,100
"360",27.42,218.2,54.6,123.8,140.8,11.9,1075.7,792.7,3
"361",35.96,218.2,54.6,123.8,140.8,11.9,1075.7,792.7,14
"362",55.51,218.2,54.6,123.8,140.8,11.9,1075.7,792.7,28
"363",61.99,218.2,54.6,123.8,140.8,11.9,1075.7,792.7,56
"364",63.53,218.2,54.6,123.8,140.8,11.9,1075.7,792.7,100
"365",18.02,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,3
"366",38.6,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,14
"367",52.2,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,28
"368",53.96,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,56
"369",56.63,214.9,53.8,121.9,155.6,9.6,1014.3,780.6,100
"370",15.34,218.9,0,124.1,158.5,11.3,1078.7,794.9,3
"371",26.05,218.9,0,124.1,158.5,11.3,1078.7,794.9,14
"372",30.22,218.9,0,124.1,158.5,11.3,1078.7,794.9,28
"373",37.27,218.9,0,124.1,158.5,11.3,1078.7,794.9,56
"374",46.23,218.9,0,124.1,158.5,11.3,1078.7,794.9,100
"375",16.28,376,0,0,214.6,0,1003.5,762.4,3
"376",25.62,376,0,0,214.6,0,1003.5,762.4,14
"377",31.97,376,0,0,214.6,0,1003.5,762.4,28
"378",36.3,376,0,0,214.6,0,1003.5,762.4,56
"379",43.06,376,0,0,214.6,0,1003.5,762.4,100
"380",67.57,500,0,0,140,4,966,853,28
"381",57.23,475,0,59,142,1.9,1098,641,28
"382",81.75,315,137,0,145,5.9,1130,745,28
"383",64.02,505,0,60,195,0,1030,630,28
"384",78.8,451,0,0,165,11.3,1030,745,28
"385",41.37,516,0,0,162,8.2,801,802,28
"386",60.28,520,0,0,170,5.2,855,855,28
"387",56.83,528,0,0,185,6.9,920,720,28
"388",51.02,520,0,0,175,5.2,870,805,28
"389",55.55,385,0,136,158,20,903,768,28
"390",44.13,500.1,0,0,200,3,1124.4,613.2,28
"391",39.38,450.1,50,0,200,3,1124.4,613.2,28
"392",55.65,397,17.2,158,167,20.8,967,633,28
"393",47.28,333,17.5,163,167,17.9,996,652,28
"394",44.33,334,17.6,158,189,15.3,967,633,28
"395",52.3,405,0,0,175,0,1120,695,28
"396",49.25,200,200,0,190,0,1145,660,28
"397",41.37,516,0,0,162,8.3,801,802,28
"398",29.16,145,116,119,184,5.7,833,880,28
"399",39.4,160,128,122,182,6.4,824,879,28
"400",39.3,234,156,0,189,5.9,981,760,28
"401",67.87,250,180,95,159,9.5,860,800,28
"402",58.52,475,0,0,162,9.5,1044,662,28
"403",53.58,285,190,0,163,7.6,1031,685,28
"404",59,356,119,0,160,9,1061,657,28
"405",76.24,275,180,120,162,10.4,830,765,28
"406",69.84,500,0,0,151,9,1033,655,28
"407",14.4,165,0,143.6,163.8,0,1005.6,900.9,3
"408",19.42,165,128.5,132.1,175.1,8.1,1005.8,746.6,3
"409",20.73,178,129.8,118.6,179.9,3.6,1007.3,746.8,3
"410",14.94,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,3
"411",21.29,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,3
"412",23.08,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,3
"413",15.52,167,75.4,167,164,7.9,1007.3,770.1,3
"414",15.82,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,3
"415",12.55,190.3,0,125.2,166.6,9.9,1079,798.9,3
"416",8.49,250,0,95.7,191.8,5.3,948.9,857.2,3
"417",15.61,213.5,0,174.2,159.2,11.7,1043.6,771.9,3
"418",12.18,194.7,0,100.5,170.2,7.5,998,901.8,3
"419",11.98,251.4,0,118.3,192.9,5.8,1043.6,754.3,3
"420",16.88,165,0,143.6,163.8,0,1005.6,900.9,14
"421",33.09,165,128.5,132.1,175.1,8.1,1005.8,746.6,14
"422",34.24,178,129.8,118.6,179.9,3.6,1007.3,746.8,14
"423",31.81,167.4,129.9,128.6,175.5,7.8,1006.3,746.6,14
"424",29.75,172.4,13.6,172.4,156.8,4.1,1006.3,856.4,14
"425",33.01,173.5,50.1,173.5,164.8,6.5,1006.2,793.5,14
"426",32.9,167,75.4,167,164,7.9,1007.3,770.1,14
"427",29.55,173.8,93.4,159.9,172.3,9.7,1007.2,746.6,14
