"target","CRIM","ZN","INDUS","CHAS","NOX","RM","AGE","DIS","RAD","TAX","PTRATIO","B","LSTAT"
16.2,259,0,21.89,0,624,5693,96,1788,4,437,21.2,392109,17.19
18,325,0,21.89,0,624,6431,98.8,1812,4,437,21.2,396898,15.39
14.3,881,0,21.89,0,624,5637,94.7,1.98,4,437,21.2,396898,18.34
19.2,0.34,0,21.89,0,624,6458,98.9,2118,4,437,21.2,395039,12.6
19.6,1193,0,21.89,0,624,6326,97.7,2271,4,437,21.2,396898,12.26
23,0.59,0,21.89,0,624,6372,97.9,2327,4,437,21.2,385.76,11.12
18.4,0.33,0,21.89,0,624,5822,95.4,2.47,4,437,21.2,388689,15.03
15.6,976,0,21.89,0,624,5757,98.4,2346,4,437,21.2,262.76,17.31
18.1,558,0,21.89,0,624,6335,98.2,2111,4,437,21.2,394.67,16.96
17.4,323,0,21.89,0,624,5942,93.5,1967,4,437,21.2,378.25,16.9
17.1,352,0,21.89,0,624,6454,98.4,1.85,4,437,21.2,394078,14.59
13.3,0.25,0,21.89,0,624,5857,98.2,1669,4,437,21.2,392039,21.32
17.8,545,0,21.89,0,624,6151,97.9,1669,4,437,21.2,396898,18.46
14,291,0,21.89,0,624,6174,93.6,1612,4,437,21.2,388078,24.16
14.4,1629,0,21.89,0,624,5019,100,1439,4,437,21.2,396898,34.41
13.4,3321,0,19.58,1,871,5403,100,1322,5,403,14.7,396898,26.82
15.6,4097,0,19.58,0,871,5468,100,1412,5,403,14.7,396898,26.42
11.8,2.78,0,19.58,0,871,4903,97.8,1346,5,403,14.7,396898,29.29
13.8,2379,0,19.58,0,871,6.13,100,1419,5,403,14.7,172909,27.8
15.6,2155,0,19.58,0,871,5628,100,1517,5,403,14.7,169.27,16.65
14.6,2369,0,19.58,0,871,4926,95.7,1461,5,403,14.7,391709,29.53
17.8,2331,0,19.58,0,871,5186,93.8,1.53,5,403,14.7,356988,28.32
15.4,2734,0,19.58,0,871,5597,94.9,1526,5,403,14.7,351.85,21.45
21.5,1657,0,19.58,0,871,6122,97.3,1618,5,403,14.7,372799,14.1
19.6,1496,0,19.58,0,871,5404,100,1592,5,403,14.7,341.6,13.28
15.3,1127,0,19.58,1,871,5012,88,1.61,5,403,14.7,343279,12.12
19.4,2149,0,19.58,0,871,5709,98.5,1623,5,403,14.7,261949,15.79
17,1414,0,19.58,1,871,6129,96,1749,5,403,14.7,321.02,15.12
15.6,3535,0,19.58,1,871,6152,82.6,1745,5,403,14.7,88.01,15.02
13.1,2447,0,19.58,0,871,5272,94,1736,5,403,14.7,88.63,16.14
41.3,1224,0,19.58,0,605,6943,97.4,1877,5,403,14.7,363.43,4.59
24.3,1343,0,19.58,0,605,6066,100,1757,5,403,14.7,353889,6.43
23.3,1425,0,19.58,0,871,6.51,100,1766,5,403,14.7,364309,7.39
27,1273,0,19.58,1,605,6.25,92.6,1798,5,403,14.7,338.92,5.5
50,1463,0,19.58,0,605,7489,90.8,1971,5,403,14.7,374.43,1.73
50,1834,0,19.58,1,605,7802,98.2,2041,5,403,14.7,389609,1.92
50,1519,0,19.58,1,605,8375,93.9,2162,5,403,14.7,388449,3.32
22.7,2242,0,19.58,0,605,5854,91.8,2422,5,403,14.7,395109,11.64
25,2924,0,19.58,0,605,6101,93,2283,5,403,14.7,240159,9.81
50,2.01,0,19.58,0,605,7929,96.2,2046,5,403,14.7,369299,3.7
23.8,1.8,0,19.58,0,605,5877,79.2,2426,5,403,14.7,227609,12.14
23.8,2.3,0,19.58,0,605,6319,96.1,2.1,5,403,14.7,297.09,11.1
22.3,2.45,0,19.58,0,605,6402,95.2,2262,5,403,14.7,330039,11.32
17.4,1207,0,19.58,0,605,5875,94.6,2426,5,403,14.7,292289,14.43
19.1,2314,0,19.58,0,605,5.88,97.3,2389,5,403,14.7,348129,12.03
23.1,139,0,4.05,0,0.51,5572,88.5,2596,5,296,16.6,396898,14.69
23.6,92,0,4.05,0,0.51,6416,84.1,2646,5,296,16.6,395.5,9.04
22.6,84,0,4.05,0,0.51,5859,68.7,2702,5,296,16.6,393229,9.64
29.4,67,0,4.05,0,0.51,6546,33.1,3132,5,296,16.6,390959,5.33
23.2,0.07,0,4.05,0,0.51,6.02,47.2,3555,5,296,16.6,393229,10.11
24.6,54,0,4.05,0,0.51,6315,73.4,3317,5,296,16.6,395.6,6.29
29.9,66,0,4.05,0,0.51,6.86,74.4,2915,5,296,16.6,391.27,6.92
37.2,58,0,2.46,0,488,6.98,58.4,2829,3,193,17.8,396898,5.04
39.8,66,0,2.46,0,488,7765,83.3,2741,3,193,17.8,395559,7.56
36.2,69,0,2.46,0,488,6144,62.2,2598,3,193,17.8,396898,9.45
37.9,91,0,2.46,0,488,7155,92.2,2701,3,193,17.8,394119,4.82
32.5,0.1,0,2.46,0,488,6563,95.6,2847,3,193,17.8,396898,5.68
26.4,83,0,2.46,0,488,5604,89.8,2988,3,193,17.8,391,13.98
29.6,0.06,0,2.46,0,488,6153,68.8,3.28,3,193,17.8,387109,13.15
50,56,0,2.46,0,488,7831,53.6,3199,3,193,17.8,392629,4.45
32,79,45,3.44,0,437,6782,41.1,3789,5,398,15.2,393869,6.68
29.8,126,45,3.44,0,437,6556,29.1,4567,5,398,15.2,382.84,4.56
34.9,84,45,3.44,0,437,7185,38.9,4567,5,398,15.2,396898,5.39
37,91,45,3.44,0,437,6951,21.5,6.48,5,398,15.2,377.68,5.1
30.5,69,45,3.44,0,437,6739,30.8,6.48,5,398,15.2,389709,4.69
36.4,87,45,3.44,0,437,7178,26.3,6.48,5,398,15.2,390488,2.87
31.1,22,60,2.93,0,401,6.8,9.9,6.22,1,265,15.6,393369,5.03
29.1,14,60,2.93,0,401,6604,18.8,6.22,1,265,15.6,376699,4.38
50,14,80,0.46,0,422,7875,32,5648,4,255,14.4,394229,2.97
33.3,0.04,80,1.52,0,404,7287,34.1,7309,2,329,12.6,396898,4.08
30.3,47,80,1.52,0,404,7107,36.6,7309,2,329,12.6,354309,8.61
34.6,38,80,1.52,0,404,7274,38.3,7309,2,329,12.6,392199,6.62
34.9,31,95,1.47,0,403,6975,15.3,7653,3,402,17,396898,4.56
32.9,18,95,1.47,0,403,7135,13.9,7653,3,402,17,384299,4.45
24.1,34,82.5,2.03,0,415,6162,38.4,6.27,2,348,14.7,393.77,7.43
42.3,22,82.5,2.03,0,415,7.61,15.7,6.27,2,348,14.7,395379,3.11
48.5,35,95,2.68,0,416,7853,33.2,5118,4,224,14.7,392779,3.81
50,0.02,95,2.68,0,416,8034,31.9,5118,4,224,14.7,390549,2.88
22.6,136,0,10.59,0,489,5891,22.3,3945,4,277,18.6,396898,10.87
24.4,0.23,0,10.59,0,489,6326,52.5,4355,4,277,18.6,394869,10.97
22.5,252,0,10.59,0,489,5783,72.7,4355,4,277,18.6,389.43,18.06
24.4,136,0,10.59,1,489,6064,59.1,4239,4,277,18.6,381318,14.66
20,436,0,10.59,1,489,5344,100,3875,4,277,18.6,396898,23.09
21.7,174,0,10.59,1,489,5.96,92.1,3877,4,277,18.6,393.25,17.27
19.3,376,0,10.59,1,489,5404,88.6,3665,4,277,18.6,395238,23.98
22.4,217,0,10.59,1,489,5807,53.8,3653,4,277,18.6,390939,16.03
28.1,141,0,10.59,0,489,6375,32.3,3945,4,277,18.6,385809,9.38
23.7,0.29,0,10.59,0,489,5412,9.8,3587,4,277,18.6,348.93,29.55
25,198,0,10.59,0,489,6182,42.4,3945,4,277,18.6,393629,9.47
23.3,46,0,13.89,1,0.55,5888,56,3112,5,276,16.4,392799,13.51
28.7,0.07,0,13.89,0,0.55,6642,85.1,3421,5,276,16.4,392779,9.69
21.5,111,0,13.89,1,0.55,5951,93.8,2889,5,276,16.4,396898,17.92
23,114,0,13.89,1,0.55,6373,92.4,3363,5,276,16.4,393738,10.5
26.7,358,0,6.2,1,507,6951,88.5,2862,8,307,17.4,391699,9.71
21.7,408,0,6.2,1,507,6164,91.3,3048,8,307,17.4,395238,21.46
27.5,624,0,6.2,1,507,6879,77.7,3272,8,307,17.4,390389,9.93
30.1,615,0,6.2,0,507,6618,80.8,3272,8,307,17.4,396898,7.6
44.8,315,0,6.2,0,504,8266,78.3,2894,8,307,17.4,385049,4.14
50,527,0,6.2,0,504,8725,83,2894,8,307,17.4,382,4.63
37.6,382,0,6.2,0,504,8.04,86.5,3216,8,307,17.4,387379,3.13
31.6,412,0,6.2,0,504,7163,79.9,3216,8,307,17.4,372078,6.36
46.7,298,0,6.2,0,504,7686,17,3375,8,307,17.4,377.51,3.92
31.5,442,0,6.2,0,504,6552,21.4,3375,8,307,17.4,380.34,3.76
24.3,537,0,6.2,0,504,5981,68.1,3671,8,307,17.4,378.35,11.65
31.7,463,0,6.2,0,504,7412,76.9,3671,8,307,17.4,376139,5.25
41.7,575,0,6.2,0,507,8337,73.3,3838,8,307,17.4,385908,2.47
48.3,331,0,6.2,0,507,8247,70.4,3652,8,307,17.4,378949,3.95
29,448,0,6.2,1,507,6726,66.5,3652,8,307,17.4,360199,8.05
24,0.33,0,6.2,0,507,6086,61.5,3652,8,307,17.4,376.75,10.88
25.1,521,0,6.2,1,507,6631,76.5,4148,8,307,17.4,388449,9.54
31.5,512,0,6.2,0,507,7358,71.6,4148,8,307,17.4,390068,4.73
23.7,82,30,4.93,0,428,6481,18.5,6.19,6,300,16.6,379408,6.36
23.3,93,30,4.93,0,428,6606,42.2,6.19,6,300,16.6,383779,7.37
22,113,30,4.93,0,428,6897,54.3,6336,6,300,16.6,391.25,11.38
20.1,106,30,4.93,0,428,6095,65.1,6336,6,300,16.6,394619,12.4
22.2,103,30,4.93,0,428,6358,52.9,7035,6,300,16.6,372.75,11.22
23.7,128,30,4.93,0,428,6393,7.8,7035,6,300,16.6,374709,5.19
17.6,206,22,5.86,0,431,5593,76.5,7955,7,330,19.1,372488,12.5
18.5,191,22,5.86,0,431,5605,70.2,7955,7,330,19.1,389129,18.46
24.3,0.34,22,5.86,0,431,6108,34.9,8055,7,330,19.1,390.18,9.16
20.5,197,22,5.86,0,431,6226,79.2,8055,7,330,19.1,376139,10.15
24.5,164,22,5.86,0,431,6433,49.1,7826,7,330,19.1,374709,9.52
26.2,191,22,5.86,0,431,6718,17.5,7826,7,330,19.1,393738,6.56
24.4,0.14,22,5.86,0,431,6487,13,7397,7,330,19.1,396279,5.9
24.8,214,22,5.86,0,431,6438,8.9,7397,7,330,19.1,377068,3.59
29.6,82,22,5.86,0,431,6957,6.8,8907,7,330,19.1,386.09,3.53
42.8,369,22,5.86,0,431,8259,8.4,8907,7,330,19.1,396898,3.54
21.9,48,80,3.64,0,392,6108,32,9.22,1,315,16.4,392889,6.57
20.9,35,80,3.64,0,392,5876,19.1,9.22,1,315,16.4,395.18,9.25
44,15,90,3.75,0,394,7454,34.2,6336,3,244,15.9,386.34,3.11
50,612,20,3.97,0,647,8704,86.9,1801,5,264,13,389699,5.12
36,664,20,3.97,0,647,7333,100,1895,5,264,13,383289,7.79
30.1,657,20,3.97,0,647,6842,100,2011,5,264,13,391.93,6.9
33.8,0.54,20,3.97,0,647,7203,81.8,2112,5,264,13,392799,9.59
43.1,534,20,3.97,0,647,7.52,89.4,2.14,5,264,13,388369,7.26
48.8,0.52,20,3.97,0,647,8398,91.5,2288,5,264,13,386859,5.91
31,825,20,3.97,0,647,7327,94.5,2079,5,264,13,393.42,11.25
36.5,0.55,20,3.97,0,647,7206,91.6,1.93,5,264,13,387889,8.1
22.8,762,20,3.97,0,647,5.56,62.8,1986,5,264,13,392398,10.45
30.7,786,20,3.97,0,647,7014,84.6,2133,5,264,13,384068,14.79
50,578,20,3.97,0,575,8297,67,2422,5,264,13,384539,7.44
43.5,0.54,20,3.97,0,575,7.47,52.6,2872,5,264,13,390299,3.16
20.7,91,20,6.96,1,464,5.92,61.5,3917,3,223,18.6,391.34,13.65
21.1,299,20,6.96,0,464,5856,42.1,4429,3,223,18.6,388648,13
25.2,162,20,6.96,0,464,6.24,16.3,4429,3,223,18.6,396898,6.59
24.4,115,20,6.96,0,464,6538,58.7,3917,3,223,18.6,394959,7.73
35.2,222,20,6.96,1,464,7691,51.8,4366,3,223,18.6,390.77,6.58
32.4,56,40,6.41,1,447,6758,32.9,4078,4,254,17.6,396898,3.53
32,96,40,6.41,0,447,6854,42.8,4267,4,254,17.6,396898,2.98
33.2,105,40,6.41,1,447,7267,49,4787,4,254,17.6,389.25,6.05
33.1,61,40,6.41,1,447,6826,27.6,4863,4,254,17.6,393449,4.16
29.1,0.08,40,6.41,0,447,6482,32.1,4.14,4,254,17.6,396898,7.19
35.1,0.21,20,3.33,0,443,6812,32.2,4101,5,216,14.9,396898,4.85
45.4,36,20,3.33,0,443,7.82,64.5,4695,5,216,14.9,387309,3.76
35.4,37,20,3.33,0,443,6968,37.2,5245,5,216,14.9,392229,4.59
46,61,20,3.33,1,443,7645,49.7,5212,5,216,14.9,377068,3.01
50,15,90,1.21,1,401,7923,24.8,5885,1,198,13.6,395.52,3.16
32.2,9,90,2.97,0,0.4,7088,20.8,7307,1,285,15.3,394719,7.85
22,11,55,2.25,0,389,6453,31.9,7307,1,300,15.3,394719,8.23
20.1,0.02,80,1.76,0,385,6.23,31.5,9089,1,241,18.2,341.6,12.93
23.2,39,52.5,5.32,0,405,6209,31.3,7317,6,293,16.6,396898,7.14
22.3,46,52.5,5.32,0,405,6315,45.6,7317,6,293,16.6,396898,7.6
24.8,43,52.5,5.32,0,405,6565,22.9,7317,6,293,16.6,371719,9.51
28.5,35,80,4.95,0,411,6861,27.9,5117,4,245,19.2,396898,3.33
37.3,79,80,4.95,0,411,7148,27.7,5117,4,245,19.2,396898,3.56
27.9,36,80,4.95,0,411,6.63,23.4,5117,4,245,19.2,396898,4.7
23.9,83,0,13.92,0,437,6127,18.4,5503,4,289,16,396898,8.58
21.7,82,0,13.92,0,437,6009,42.3,5503,4,289,16,396898,10.4
28.6,129,0,13.92,0,437,6678,31.1,5.96,4,289,16,396898,6.27
27.1,54,0,13.92,0,437,6549,51,5.96,4,289,16,392.85,7.39
20.3,141,0,13.92,0,437,5.79,58,6.32,4,289,16,396898,15.84
22.5,65,70,2.24,0,0.4,6345,20.1,7828,5,358,14.8,368238,4.97
29,56,70,2.24,0,0.4,7041,10,7828,5,358,14.8,371578,4.74
24.8,44,70,2.24,0,0.4,6871,47.4,7828,5,358,14.8,390859,6.07
22,35,34,6.09,0,433,6.59,40.4,5492,7,329,16.1,395.75,9.5
26.4,93,34,6.09,0,433,6495,18.4,5492,7,329,16.1,383609,8.67
33.1,0.1,34,6.09,0,433,6982,17.7,5492,7,329,16.1,390.43,4.86
36.1,55,33,2.18,0,472,7236,41.1,4022,7,222,18.4,393.68,6.93
28.4,55,33,2.18,0,472,6616,58.1,3.37,7,222,18.4,393359,8.93
33.4,75,33,2.18,0,472,7.42,71.9,3099,7,222,18.4,396898,6.47
28.2,49,33,2.18,0,472,6849,70.3,3183,7,222,18.4,396898,7.53
22.8,493,0,9.9,0,544,6635,82.5,3317,4,304,18.4,396898,4.54
20.3,349,0,9.9,0,544,5972,76.7,3102,4,304,18.4,396238,9.97
16.1,2635,0,9.9,0,544,4973,37.8,2519,4,304,18.4,350449,12.64
22.1,0.79,0,9.9,0,544,6122,52.8,2.64,4,304,18.4,396898,5.98
19.4,262,0,9.9,0,544,6023,90.4,2834,4,304,18.4,396299,11.72
21.6,269,0,9.9,0,544,6266,82.8,3263,4,304,18.4,393389,7.9
23.8,369,0,9.9,0,544,6567,87.3,3602,4,304,18.4,395689,9.28
16.2,254,0,9.9,0,544,5705,77.7,3945,4,304,18.4,396.42,11.5
17.8,318,0,9.9,0,544,5914,83.2,3999,4,304,18.4,390699,18.33
19.8,245,0,9.9,0,544,5782,71.7,4032,4,304,18.4,396898,15.94
23.1,402,0,9.9,0,544,6382,67.2,3532,4,304,18.4,395209,10.36
21,475,0,9.9,0,544,6113,58.8,4002,4,304,18.4,396229,12.73
23.8,168,0,7.38,0,493,6426,52.3,4.54,5,287,19.6,396898,7.2
23.1,182,0,7.38,0,493,6376,54.3,4.54,5,287,19.6,396898,6.87
20.4,351,0,7.38,0,493,6041,49.9,4721,5,287,19.6,396898,7.7
18.5,284,0,7.38,0,493,5708,74.3,4721,5,287,19.6,391129,11.74
25,341,0,7.38,0,493,6415,40.1,4721,5,287,19.6,396898,6.12
24.6,192,0,7.38,0,493,6431,14.7,5416,5,287,19.6,393.68,5.08
23,303,0,7.38,0,493,6312,28.9,5416,5,287,19.6,396898,6.15
22.2,241,0,7.38,0,493,6083,43.7,5416,5,287,19.6,396898,12.79
19.3,66,0,3.24,0,0.46,5868,25.8,5215,4,430,16.9,382439,9.97
22.6,67,0,3.24,0,0.46,6333,17.2,5215,4,430,16.9,375209,7.34
19.8,45,0,3.24,0,0.46,6144,32.2,5874,4,430,16.9,368568,9.09
17.1,0.05,35,6.06,0,438,5706,28.4,6641,1,304,16.9,394.02,12.43
19.4,35,35,6.06,0,438,6031,23.3,6641,1,304,16.9,362.25,7.83
22.2,51,0,5.19,0,515,6316,38.1,6458,5,224,20.2,389709,5.68
20.7,37,0,5.19,0,515,6.31,38.5,6458,5,224,20.2,389398,6.75
21.1,0.04,0,5.19,0,515,6037,34.5,5985,5,224,20.2,396898,8.01
