heat,Attribute2,Attribute3,Attribute4,Attribute5,Attribute6,Attribute7,Attribute8,Attribute9,Attribute10,Attribute11,Attribute12
8.27,3,5,21,1997,84.0,87.0,4,105,130,0.5,2500
9.1,3,5,21,1997,84.0,87.0,4,105,130,1.0,2500
10.02,3,5,21,1997,84.0,87.0,4,105,130,1.5,2500
11.02,3,5,21,1997,84.0,87.0,4,105,130,2.0,2500
12.13,3,5,21,1997,84.0,87.0,4,105,130,2.5,2500
13.31,3,5,21,1997,84.0,87.0,4,105,130,3.0,2500
14.59,3,5,21,1997,84.0,87.0,4,105,130,3.5,2500
15.95,3,5,21,1997,84.0,87.0,4,105,130,4.0,2500
17.41,3,5,21,1997,84.0,87.0,4,105,130,4.5,2500
18.94,3,5,21,1997,84.0,87.0,4,105,130,5.0,2500
20.57,3,5,21,1997,84.0,87.0,4,105,130,5.5,2500
22.29,3,5,21,1997,84.0,87.0,4,105,130,6.0,2500
24.1,3,5,21,1997,84.0,87.0,4,105,130,6.5,2500
25.99,3,5,21,1997,84.0,87.0,4,105,130,7.0,2500
27.98,3,5,21,1997,84.0,87.0,4,105,130,7.5,2500
30.06,3,5,21,1997,84.0,87.0,4,105,130,8.0,2500
32.22,3,5,21,1997,84.0,87.0,4,105,130,8.5,2500
34.48,3,5,21,1997,84.0,87.0,4,105,130,9.0,2500
36.81,3,5,21,1997,84.0,87.0,4,105,130,9.5,2500
39.24,3,5,21,1997,84.0,87.0,4,105,130,10.0,2500
41.76,3,5,21,1997,84.0,87.0,4,105,130,10.5,2500
44.37,3,5,21,1997,84.0,87.0,4,105,130,11.0,2500
47.07,3,5,21,1997,84.0,87.0,4,105,130,11.5,2500
49.86,3,5,21,1997,84.0,87.0,4,105,130,12.0,2500
10.33,3,5,21,1997,84.0,87.0,4,105,130,0.0,3000
11.23,3,5,21,1997,84.0,87.0,4,105,130,0.5,3000
12.21,3,5,21,1997,84.0,87.0,4,105,130,1.0,3000
13.31,3,5,21,1997,84.0,87.0,4,105,130,1.5,3000
14.48,3,5,21,1997,84.0,87.0,4,105,130,2.0,3000
15.75,3,5,21,1997,84.0,87.0,4,105,130,2.5,3000
17.12,3,5,21,1997,84.0,87.0,4,105,130,3.0,3000
18.58,3,5,21,1997,84.0,87.0,4,105,130,3.5,3000
20.13,3,5,21,1997,84.0,87.0,4,105,130,4.0,3000
21.77,3,5,21,1997,84.0,87.0,4,105,130,4.5,3000
23.51,3,5,21,1997,84.0,87.0,4,105,130,5.0,3000
25.35,3,5,21,1997,84.0,87.0,4,105,130,5.5,3000
27.27,3,5,21,1997,84.0,87.0,4,105,130,6.0,3000
29.29,3,5,21,1997,84.0,87.0,4,105,130,6.5,3000
31.41,3,5,21,1997,84.0,87.0,4,105,130,7.0,3000
33.61,3,5,21,1997,84.0,87.0,4,105,130,7.5,3000
35.92,3,5,21,1997,84.0,87.0,4,105,130,8.0,3000
38.31,3,5,21,1997,84.0,87.0,4,105,130,8.5,3000
40.8,3,5,21,1997,84.0,87.0,4,105,130,9.0,3000
43.37,3,5,21,1997,84.0,87.0,4,105,130,9.5,3000
46.05,3,5,21,1997,84.0,87.0,4,105,130,10.0,3000
48.82,3,5,21,1997,84.0,87.0,4,105,130,10.5,3000
51.69,3,5,21,1997,84.0,87.0,4,105,130,11.0,3000
54.64,3,5,21,1997,84.0,87.0,4,105,130,11.5,3000
57.69,3,5,21,1997,84.0,87.0,4,105,130,12.0,3000
13.57,3,5,21,1997,84.0,87.0,4,105,130,0.0,3500
14.66,3,5,21,1997,84.0,87.0,4,105,130,0.5,3500
15.85,3,5,21,1997,84.0,87.0,4,105,130,1.0,3500
17.14,3,5,21,1997,84.0,87.0,4,105,130,1.5,3500
18.51,3,5,21,1997,84.0,87.0,4,105,130,2.0,3500
19.99,3,5,21,1997,84.0,87.0,4,105,130,2.5,3500
21.58,3,5,21,1997,84.0,87.0,4,105,130,3.0,3500
23.24,3,5,21,1997,84.0,87.0,4,105,130,3.5,3500
25.01,3,5,21,1997,84.0,87.0,4,105,130,4.0,3500
26.87,3,5,21,1997,84.0,87.0,4,105,130,4.5,3500
28.83,3,5,21,1997,84.0,87.0,4,105,130,5.0,3500
30.88,3,5,21,1997,84.0,87.0,4,105,130,5.5,3500
33.04,3,5,21,1997,84.0,87.0,4,105,130,6.0,3500
35.29,3,5,21,1997,84.0,87.0,4,105,130,6.5,3500
37.64,3,5,21,1997,84.0,87.0,4,105,130,7.0,3500
40.08,3,5,21,1997,84.0,87.0,4,105,130,7.5,3500
42.62,3,5,21,1997,84.0,87.0,4,105,130,8.0,3500
45.25,3,5,21,1997,84.0,87.0,4,105,130,8.5,3500
47.99,3,5,21,1997,84.0,87.0,4,105,130,9.0,3500
50.82,3,5,21,1997,84.0,87.0,4,105,130,9.5,3500
53.74,3,5,21,1997,84.0,87.0,4,105,130,10.0,3500
56.77,3,5,21,1997,84.0,87.0,4,105,130,10.5,3500
59.88,3,5,21,1997,84.0,87.0,4,105,130,11.0,3500
63.1,3,5,21,1997,84.0,87.0,4,105,130,11.5,3500
66.41,3,5,21,1997,84.0,87.0,4,105,130,12.0,3500
17.25,3,5,21,1997,84.0,87.0,4,105,130,0.0,4000
18.57,3,5,21,1997,84.0,87.0,4,105,130,0.5,4000
19.99,3,5,21,1997,84.0,87.0,4,105,130,1.0,4000
21.51,3,5,21,1997,84.0,87.0,4,105,130,1.5,4000
23.13,3,5,21,1997,84.0,87.0,4,105,130,2.0,4000
24.86,3,5,21,1997,84.0,87.0,4,105,130,2.5,4000
26.67,3,5,21,1997,84.0,87.0,4,105,130,3.0,4000
28.58,3,5,21,1997,84.0,87.0,4,105,130,3.5,4000
30.58,3,5,21,1997,84.0,87.0,4,105,130,4.0,4000
32.7,3,5,21,1997,84.0,87.0,4,105,130,4.5,4000
34.89,3,5,21,1997,84.0,87.0,4,105,130,5.0,4000
37.2,3,5,21,1997,84.0,87.0,4,105,130,5.5,4000
39.6,3,5,21,1997,84.0,87.0,4,105,130,6.0,4000
42.1,3,5,21,1997,84.0,87.0,4,105,130,6.5,4000
44.69,3,5,21,1997,84.0,87.0,4,105,130,7.0,4000
47.38,3,5,21,1997,84.0,87.0,4,105,130,7.5,4000
50.18,3,5,21,1997,84.0,87.0,4,105,130,8.0,4000
53.06,3,5,21,1997,84.0,87.0,4,105,130,8.5,4000
56.05,3,5,21,1997,84.0,87.0,4,105,130,9.0,4000
59.14,3,5,21,1997,84.0,87.0,4,105,130,9.5,4000
62.32,3,5,21,1997,84.0,87.0,4,105,130,10.0,4000
65.6,3,5,21,1997,84.0,87.0,4,105,130,10.5,4000
68.98,3,5,21,1997,84.0,87.0,4,105,130,11.0,4000
72.45,3,5,21,1997,84.0,87.0,4,105,130,11.5,4000
76.03,3,5,21,1997,84.0,87.0,4,105,130,12.0,4000
21.35,3,5,21,1997,84.0,87.0,4,105,130,0.0,4500
22.95,3,5,21,1997,84.0,87.0,4,105,130,0.5,4500
24.64,3,5,21,1997,84.0,87.0,4,105,130,1.0,4500
26.45,3,5,21,1997,84.0,87.0,4,105,130,1.5,4500
28.33,3,5,21,1997,84.0,87.0,4,105,130,2.0,4500
30.31,3,5,21,1997,84.0,87.0,4,105,130,2.5,4500
32.4,3,5,21,1997,84.0,87.0,4,105,130,3.0,4500
34.58,3,5,21,1997,84.0,87.0,4,105,130,3.5,4500
36.86,3,5,21,1997,84.0,87.0,4,105,130,4.0,4500
39.23,3,5,21,1997,84.0,87.0,4,105,130,4.5,4500
41.7,3,5,21,1997,84.0,87.0,4,105,130,5.0,4500
44.28,3,5,21,1997,84.0,87.0,4,105,130,5.5,4500
46.94,3,5,21,1997,84.0,87.0,4,105,130,6.0,4500
49.71,3,5,21,1997,84.0,87.0,4,105,130,6.5,4500
52.57,3,5,21,1997,84.0,87.0,4,105,130,7.0,4500
55.53,3,5,21,1997,84.0,87.0,4,105,130,7.5,4500
58.59,3,5,21,1997,84.0,87.0,4,105,130,8.0,4500
61.74,3,5,21,1997,84.0,87.0,4,105,130,8.5,4500
64.99,3,5,21,1997,84.0,87.0,4,105,130,9.0,4500
68.34,3,5,21,1997,84.0,87.0,4,105,130,9.5,4500
71.78,3,5,21,1997,84.0,87.0,4,105,130,10.0,4500
75.32,3,5,21,1997,84.0,87.0,4,105,130,10.5,4500
78.95,3,5,21,1997,84.0,87.0,4,105,130,11.0,4500
82.69,3,5,21,1997,84.0,87.0,4,105,130,11.5,4500
86.53,3,5,21,1997,84.0,87.0,4,105,130,12.0,4500
25.91,3,5,21,1997,84.0,87.0,4,105,130,0.0,5000
27.82,3,5,21,1997,84.0,87.0,4,105,130,0.5,5000
29.82,3,5,21,1997,84.0,87.0,4,105,130,1.0,5000
31.92,3,5,21,1997,84.0,87.0,4,105,130,1.5,5000
34.11,3,5,21,1997,84.0,87.0,4,105,130,2.0,5000
36.4,3,5,21,1997,84.0,87.0,4,105,130,2.5,5000
38.78,3,5,21,1997,84.0,87.0,4,105,130,3.0,5000
41.26,3,5,21,1997,84.0,87.0,4,105,130,3.5,5000
43.84,3,5,21,1997,84.0,87.0,4,105,130,4.0,5000
46.5,3,5,21,1997,84.0,87.0,4,105,130,4.5,5000
49.27,3,5,21,1997,84.0,87.0,4,105,130,5.0,5000
52.12,3,5,21,1997,84.0,87.0,4,105,130,5.5,5000
55.07,3,5,21,1997,84.0,87.0,4,105,130,6.0,5000
58.12,3,5,21,1997,84.0,87.0,4,105,130,6.5,5000
61.26,3,5,21,1997,84.0,87.0,4,105,130,7.0,5000
64.51,3,5,21,1997,84.0,87.0,4,105,130,7.5,5000
67.84,3,5,21,1997,84.0,87.0,4,105,130,8.0,5000
71.27,3,5,21,1997,84.0,87.0,4,105,130,8.5,5000
74.78,3,5,21,1997,84.0,87.0,4,105,130,9.0,5000
78.41,3,5,21,1997,84.0,87.0,4,105,130,9.5,5000
82.12,3,5,21,1997,84.0,87.0,4,105,130,10.0,5000
85.92,3,5,21,1997,84.0,87.0,4,105,130,10.5,5000
89.82,3,5,21,1997,84.0,87.0,4,105,130,11.0,5000
93.83,3,5,21,1997,84.0,87.0,4,105,130,11.5,5000
97.92,3,5,21,1997,84.0,87.0,4,105,130,12.0,5000
0.19,3,5,21,2299,92.4,89.0,4,105,130,0.0,100
0.77,3,5,21,2299,92.4,89.0,4,105,130,0.5,100
1.38,3,5,21,2299,92.4,89.0,4,105,130,1.0,100
2.04,3,5,21,2299,92.4,89.0,4,105,130,1.5,100
2.75,3,5,21,2299,92.4,89.0,4,105,130,2.0,100
3.51,3,5,21,2299,92.4,89.0,4,105,130,2.5,100
4.31,3,5,21,2299,92.4,89.0,4,105,130,3.0,100
5.15,3,5,21,2299,92.4,89.0,4,105,130,3.5,100
6.05,3,5,21,2299,92.4,89.0,4,105,130,4.0,100
6.99,3,5,21,2299,92.4,89.0,4,105,130,4.5,100
7.97,3,5,21,2299,92.4,89.0,4,105,130,5.0,100
9.01,3,5,21,2299,92.4,89.0,4,105,130,5.5,100
10.07,3,5,21,2299,92.4,89.0,4,105,130,6.0,100
11.2,3,5,21,2299,92.4,89.0,4,105,130,6.5,100
12.36,3,5,21,2299,92.4,89.0,4,105,130,7.0,100
13.58,3,5,21,2299,92.4,89.0,4,105,130,7.5,100
14.84,3,5,21,2299,92.4,89.0,4,105,130,8.0,100
16.14,3,5,21,2299,92.4,89.0,4,105,130,8.5,100
17.49,3,5,21,2299,92.4,89.0,4,105,130,9.0,100
18.88,3,5,21,2299,92.4,89.0,4,105,130,9.5,100
20.33,3,5,21,2299,92.4,89.0,4,105,130,10.0,100
21.82,3,5,21,2299,92.4,89.0,4,105,130,10.5,100
23.35,3,5,21,2299,92.4,89.0,4,105,130,11.0,100
24.93,3,5,21,2299,92.4,89.0,4,105,130,11.5,100
26.56,3,5,21,2299,92.4,89.0,4,105,130,12.0,100
1.89,3,5,21,2299,92.4,89.0,4,105,130,0.0,1000
2.44,3,5,21,2299,92.4,89.0,4,105,130,0.5,1000
3.05,3,5,21,2299,92.4,89.0,4,105,130,1.0,1000
3.74,3,5,21,2299,92.4,89.0,4,105,130,1.5,1000
4.49,3,5,21,2299,92.4,89.0,4,105,130,2.0,1000
5.31,3,5,21,2299,92.4,89.0,4,105,130,2.5,1000
6.2,3,5,21,2299,92.4,89.0,4,105,130,3.0,1000
7.16,3,5,21,2299,92.4,89.0,4,105,130,3.5,1000
8.2,3,5,21,2299,92.4,89.0,4,105,130,4.0,1000
9.3,3,5,21,2299,92.4,89.0,4,105,130,4.5,1000
10.47,3,5,21,2299,92.4,89.0,4,105,130,5.0,1000
11.71,3,5,21,2299,92.4,89.0,4,105,130,5.5,1000
13.02,3,5,21,2299,92.4,89.0,4,105,130,6.0,1000
14.4,3,5,21,2299,92.4,89.0,4,105,130,6.5,1000
15.85,3,5,21,2299,92.4,89.0,4,105,130,7.0,1000
17.37,3,5,21,2299,92.4,89.0,4,105,130,7.5,1000
18.96,3,5,21,2299,92.4,89.0,4,105,130,8.0,1000
20.62,3,5,21,2299,92.4,89.0,4,105,130,8.5,1000
22.34,3,5,21,2299,92.4,89.0,4,105,130,9.0,1000
24.14,3,5,21,2299,92.4,89.0,4,105,130,9.5,1000
26.01,3,5,21,2299,92.4,89.0,4,105,130,10.0,1000
27.95,3,5,21,2299,92.4,89.0,4,105,130,10.5,1000
29.96,3,5,21,2299,92.4,89.0,4,105,130,11.0,1000
32.03,3,5,21,2299,92.4,89.0,4,105,130,11.5,1000
34.18,3,5,21,2299,92.4,89.0,4,105,130,12.0,1000
3.5,3,5,21,2299,92.4,89.0,4,105,130,0.0,1500
4.09,3,5,21,2299,92.4,89.0,4,105,130,0.5,1500
4.76,3,5,21,2299,92.4,89.0,4,105,130,1.0,1500
5.5,3,5,21,2299,92.4,89.0,4,105,130,1.5,1500
6.33,3,5,21,2299,92.4,89.0,4,105,130,2.0,1500
7.24,3,5,21,2299,92.4,89.0,4,105,130,2.5,1500
8.23,3,5,21,2299,92.4,89.0,4,105,130,3.0,1500
9.3,3,5,21,2299,92.4,89.0,4,105,130,3.5,1500
10.45,3,5,21,2299,92.4,89.0,4,105,130,4.0,1500
11.68,3,5,21,2299,92.4,89.0,4,105,130,4.5,1500
12.98,3,5,21,2299,92.4,89.0,4,105,130,5.0,1500
14.38,3,5,21,2299,92.4,89.0,4,105,130,5.5,1500
15.85,3,5,21,2299,92.4,89.0,4,105,130,6.0,1500
17.4,3,5,21,2299,92.4,89.0,4,105,130,6.5,1500
19.03,3,5,21,2299,92.4,89.0,4,105,130,7.0,1500
20.73,3,5,21,2299,92.4,89.0,4,105,130,7.5,1500
22.53,3,5,21,2299,92.4,89.0,4,105,130,8.0,1500
24.41,3,5,21,2299,92.4,89.0,4,105,130,8.5,1500
26.35,3,5,21,2299,92.4,89.0,4,105,130,9.0,1500
28.39,3,5,21,2299,92.4,89.0,4,105,130,9.5,1500
30.5,3,5,21,2299,92.4,89.0,4,105,130,10.0,1500
32.69,3,5,21,2299,92.4,89.0,4,105,130,10.5,1500
34.97,3,5,21,2299,92.4,89.0,4,105,130,11.0,1500
37.31,3,5,21,2299,92.4,89.0,4,105,130,11.5,1500
39.75,3,5,21,2299,92.4,89.0,4,105,130,12.0,1500
5.57,3,5,21,2299,92.4,89.0,4,105,130,0.0,2000
6.24,3,5,21,2299,92.4,89.0,4,105,130,0.5,2000
7.01,3,5,21,2299,92.4,89.0,4,105,130,1.0,2000
7.86,3,5,21,2299,92.4,89.0,4,105,130,1.5,2000
8.8,3,5,21,2299,92.4,89.0,4,105,130,2.0,2000
9.83,3,5,21,2299,92.4,89.0,4,105,130,2.5,2000
10.94,3,5,21,2299,92.4,89.0,4,105,130,3.0,2000
12.15,3,5,21,2299,92.4,89.0,4,105,130,3.5,2000
13.45,3,5,21,2299,92.4,89.0,4,105,130,4.0,2000
14.84,3,5,21,2299,92.4,89.0,4,105,130,4.5,2000
16.3,3,5,21,2299,92.4,89.0,4,105,130,5.0,2000
17.87,3,5,21,2299,92.4,89.0,4,105,130,5.5,2000
19.53,3,5,21,2299,92.4,89.0,4,105,130,6.0,2000
21.26,3,5,21,2299,92.4,89.0,4,105,130,6.5,2000
23.09,3,5,21,2299,92.4,89.0,4,105,130,7.0,2000
25.01,3,5,21,2299,92.4,89.0,4,105,130,7.5,2000
27.02,3,5,21,2299,92.4,89.0,4,105,130,8.0,2000
29.12,3,5,21,2299,92.4,89.0,4,105,130,8.5,2000
31.3,3,5,21,2299,92.4,89.0,4,105,130,9.0,2000
33.57,3,5,21,2299,92.4,89.0,4,105,130,9.5,2000
35.94,3,5,21,2299,92.4,89.0,4,105,130,10.0,2000
38.39,3,5,21,2299,92.4,89.0,4,105,130,10.5,2000
40.93,3,5,21,2299,92.4,89.0,4,105,130,11.0,2000
43.56,3,5,21,2299,92.4,89.0,4,105,130,11.5,2000
46.28,3,5,21,2299,92.4,89.0,4,105,130,12.0,2000
8.12,3,5,21,2299,92.4,89.0,4,105,130,0.0,2500
8.92,3,5,21,2299,92.4,89.0,4,105,130,0.5,2500
9.82,3,5,21,2299,92.4,89.0,4,105,130,1.0,2500
10.81,3,5,21,2299,92.4,89.0,4,105,130,1.5,2500
11.89,3,5,21,2299,92.4,89.0,4,105,130,2.0,2500
13.08,3,5,21,2299,92.4,89.0,4,105,130,2.5,2500
14.36,3,5,21,2299,92.4,89.0,4,105,130,3.0,2500
15.74,3,5,21,2299,92.4,89.0,4,105,130,3.5,2500
17.2,3,5,21,2299,92.4,89.0,4,105,130,4.0,2500
18.78,3,5,21,2299,92.4,89.0,4,105,130,4.5,2500
20.44,3,5,21,2299,92.4,89.0,4,105,130,5.0,2500
22.19,3,5,21,2299,92.4,89.0,4,105,130,5.5,2500
24.04,3,5,21,2299,92.4,89.0,4,105,130,6.0,2500
26.0,3,5,21,2299,92.4,89.0,4,105,130,6.5,2500
28.04,3,5,21,2299,92.4,89.0,4,105,130,7.0,2500
30.18,3,5,21,2299,92.4,89.0,4,105,130,7.5,2500
32.42,3,5,21,2299,92.4,89.0,4,105,130,8.0,2500
34.75,3,5,21,2299,92.4,89.0,4,105,130,8.5,2500
37.19,3,5,21,2299,92.4,89.0,4,105,130,9.0,2500
39.71,3,5,21,2299,92.4,89.0,4,105,130,9.5,2500
42.33,3,5,21,2299,92.4,89.0,4,105,130,10.0,2500
45.04,3,5,21,2299,92.4,89.0,4,105,130,10.5,2500
47.86,3,5,21,2299,92.4,89.0,4,105,130,11.0,2500
50.78,3,5,21,2299,92.4,89.0,4,105,130,11.5,2500
53.78,3,5,21,2299,92.4,89.0,4,105,130,12.0,2500
11.14,3,5,21,2299,92.4,89.0,4,105,130,0.0,3000
12.11,3,5,21,2299,92.4,89.0,4,105,130,0.5,3000
13.18,3,5,21,2299,92.4,89.0,4,105,130,1.0,3000
14.36,3,5,21,2299,92.4,89.0,4,105,130,1.5,3000
15.62,3,5,21,2299,92.4,89.0,4,105,130,2.0,3000
16.99,3,5,21,2299,92.4,89.0,4,105,130,2.5,3000
18.47,3,5,21,2299,92.4,89.0,4,105,130,3.0,3000
20.04,3,5,21,2299,92.4,89.0,4,105,130,3.5,3000
21.71,3,5,21,2299,92.4,89.0,4,105,130,4.0,3000
23.49,3,5,21,2299,92.4,89.0,4,105,130,4.5,3000
25.37,3,5,21,2299,92.4,89.0,4,105,130,5.0,3000
27.34,3,5,21,2299,92.4,89.0,4,105,130,5.5,3000
29.42,3,5,21,2299,92.4,89.0,4,105,130,6.0,3000
31.6,3,5,21,2299,92.4,89.0,4,105,130,6.5,3000
33.88,3,5,21,2299,92.4,89.0,4,105,130,7.0,3000
36.26,3,5,21,2299,92.4,89.0,4,105,130,7.5,3000
38.74,3,5,21,2299,92.4,89.0,4,105,130,8.0,3000
41.32,3,5,21,2299,92.4,89.0,4,105,130,8.5,3000
44.01,3,5,21,2299,92.4,89.0,4,105,130,9.0,3000
46.79,3,5,21,2299,92.4,89.0,4,105,130,9.5,3000
49.68,3,5,21,2299,92.4,89.0,4,105,130,10.0,3000
52.67,3,5,21,2299,92.4,89.0,4,105,130,10.5,3000
55.76,3,5,21,2299,92.4,89.0,4,105,130,11.0,3000
58.94,3,5,21,2299,92.4,89.0,4,105,130,11.5,3000
62.23,3,5,21,2299,92.4,89.0,4,105,130,12.0,3000
14.63,3,5,21,2299,92.4,89.0,4,105,130,0.0,3500
15.81,3,5,21,2299,92.4,89.0,4,105,130,0.5,3500
17.1,3,5,21,2299,92.4,89.0,4,105,130,1.0,3500
18.49,3,5,21,2299,92.4,89.0,4,105,130,1.5,3500
19.97,3,5,21,2299,92.4,89.0,4,105,130,2.0,3500
21.57,3,5,21,2299,92.4,89.0,4,105,130,2.5,3500
23.27,3,5,21,2299,92.4,89.0,4,105,130,3.0,3500
25.07,3,5,21,2299,92.4,89.0,4,105,130,3.5,3500
26.98,3,5,21,2299,92.4,89.0,4,105,130,4.0,3500
