a3,season,size,speed,mxPH,mnO2,Cl,NO3,NH4,oPO4,PO4,Chla
1.2,1,1,3,7.84,9.4,10975,1.51,12.5,3.0,11.5,1.5
0.0,3,1,3,7.77,10.7,12536,3.9760000000000004,58.5,9.0,44136,3.0
0.0,0,1,3,7.09,8.4,10.5,1.5719999999999998,28.0,4.0,13.6,0.5
0.0,2,1,3,6.8,11.1,9.0,0.63,20.0,4.0,15.3573268472903,2.7
19.6,0,1,3,8.0,9.8,16.0,0.73,20.0,26.0,45.0,0.8
14.6,1,1,3,7.2,11.3,9.0,0.23,120.0,12.0,19.0,0.5
1.2,2,1,3,7.4,12.5,13.0,3.33,60.0,72.0,142.0,4.9
20.2,0,1,3,8.1,10.3,26.0,3.78,60.0,246.0,304.0,2.8
1.9,3,1,3,7.8,11.3,20083,3.02,49.5,53.0,130.75,5.8
0.0,2,1,2,8.4,9.9,34.5,2818,3515.0,20.0,47.0,2.3
3.3,0,1,2,8.27,7.8,29.2,0.05,6400.0,7.4,23.0,0.9
1.0,3,1,2,8.66,8.4,30.523000000000003,3444,1911.0,58875,84.46,3.6
0.0,0,1,3,8.3,10.9,1.17,735,13.5,1625,3.0,0.2
0.0,1,1,3,8.0,10.4664624599572,1.45,0.81,10.0,2.5,3.0,0.3
4.1,0,1,2,8.3,8.9,20625,3.4139999999999997,228.75,196.62,253.25,12.32
1.0,1,1,2,8.1,10.5,22.285999999999998,4.071000000000001,178.57001,182.42,255.28,8957
10.6,0,1,2,8.0,5.5,77.0,6096,122.85,143.71001,296.0,3.7
0.0,3,1,2,8.15,7.1,54.19,3.8289999999999997,647.5700099999999,59.428999999999995,175.04601,13.2
7.5,0,1,3,8.3,7.7,50.0,8543,76.0,264.89999,344.60001,22.5
0.0,1,1,3,8.3,8.8,54143,7.83,51.428999999999995,276.85001,326.85699,11.84
0.0,0,1,3,8.4,13.4,69.75,4555,37.5,10.0,40667,3.9
2.7,1,1,3,8.3,12.5,87.0,4.87,22.5,27.0,43.5,3.3
1.2,2,1,3,8.0,12.1,66.3,4535,39.0,16.0,39.0,0.8
0.0,0,1,1,7.792468286019,12.6,9.0,0.23,10.0,5.0,6.0,1.1
0.0,1,1,2,7.6,9.6,15.0,3.02,40.0,27.0,121.0,2.8
0.0,2,1,2,7.29,11.21,17.75,3.07,35.0,13.0,20.811999999999998,12.1
0.0,0,1,2,7.6,10.2,32.3,4508,192.5,12.75,49333,7.9
1.2,3,1,2,8.0,7.9,27233,1651,28.333000000000002,7.3,22.9,4.5
0.0,0,1,3,7.9,11.0,6.167000000000001,1172,18333,7.75,11.8,0.5
0.0,1,1,3,7.9,9.0,5273,0.91,33.635999999999996,9.0,11818,0.8
0.0,0,1,3,6.6,10.8,6.081090204819129,3245,10.0,1.0,6.5,4.2182012053469
0.0,1,1,2,5.6,11.8,7.64098570361906,2.22,5.0,1.0,1.0,1.07214792040487
3.9,2,1,2,5.7,10.8,11.8851652911578,2.55,10.0,1.0,4.0,3.0675788346012003
0.0,1,1,3,6.6,9.5,20.0574612976049,1.32,20.0,1.0,6.0,6.02909288669881
0.0,3,1,3,6.6,10.8,7.07766148318143,2.64,10.0,2.0,11.0,0.798298822299477
0.0,2,1,2,6.6,11.3,9.98538571882485,4.17,10.0,1.0,6.0,2.51049422566279
0.0,1,1,2,6.5,10.4,9.734727601437369,5.97,10.0,2.0,14.0,4.23340112158487
0.0,2,1,3,7.83,11.7,4083,1328,18.0,3333,6.667000000000001,1.04416870664555
5.5,1,1,3,7.57,10.8,4575,1203,27.5,2.0,6.75,1.0
7.8,3,1,3,7.19,11.7,4.3260000000000005,1474,160.0,2.5,7.2,0.3
1.7,0,1,3,7.44,10.1,2.9330000000000003,0.77,15.0,1.3330000000000002,6.0,0.6
42.8,1,1,3,7.14,9.8,3275,0.9229999999999999,15.0,1.25,10.75,2.5
3.0,3,1,3,7.0,12.1,3136,1208,16.2,1.8,2.5,0.5
1.5,0,1,2,7.5,1.5,32.4,0.9209999999999999,1386.25,220.75,351.60001,10.0
2.6,1,1,2,7.5,1.8,29775,1051,2082.8501,209.85699,313.60001,1.0
1.0,3,1,2,7.8,7.1,32.54,1.72,2167.37012,151125,279.06601,13.1
2.0,2,2,2,8.5,8.1,38125,3.85,225.0,45.0,152.33299,5.2
3.3,3,2,2,7925,10.2,34037,9.08,109.0,55.0,58.623000000000005,11.6
24.8,0,2,2,8.1,8.1,136.0,3773,245.0,136.75,249.25,20.87
17.6,1,2,2,8.2,6.8,129375,3.3160000000000003,271.25,100.0,233.5,13.0
5.0,1,2,3,9.1,9.4,35.75,5164,32.5,85.5,215.5,18.37
0.0,2,2,2,8.1,9.8,29.5,1287,224.28599999999997,25.166999999999998,102333,3.6
23.2,0,2,2,8.0,5.9,27.4,735,133636,36.0,105727,3.0
11.8,1,2,2,8.0,3.3,26.76,0.6579999999999999,165.0,37375,111375,3.0
5.4,0,2,3,7.5,9.2,11.0,3.31,101.0,26.6,108.0,1.3
0.0,1,2,3,7.4,9.8,11.0,3235,255.0,38.75,56667,2.0
1.7,2,2,3,7.3,11.7,10.4,4.93,130.0,10.8,60.0,4.3
21.9,0,2,3,7.4,8.9,13.5,5442,123333,27.666999999999998,104.0,21.0
1.0,3,2,3,7.4,11.17,12.145999999999999,6188,89.6,32.0,69.93,3.1
0.0,2,2,2,7.5,10.8,31.0,4408,737.5,111.25,214.0,2.9
0.0,0,2,2,7.6,6.0,53.0,3734,914.0,137.60001,254.60001,4.3
0.0,3,2,2,7.4,10.77,36.248000000000005,3.73,429.20000999999996,57.6,169.00101,3.2
2.6,0,2,2,7.8,3.6,48667,4.03,5738.33008,412.33301,607.16699,4.3
0.0,3,2,2,7.6,9.7,53102,7.16,4073.3300799999997,282.16699,624.73297,6.8
8.8,0,2,2,8.5,8.6,125.6,3778,124167,197.83299,303.33301,40.0
3.3,1,2,2,8.7,9.4,173.75,3318,101.25,267.75,391.75,3.5
1.6,3,2,2,8.1,10.7,94405,4698,153.0,191.75,265.25,7.3
6.3,0,2,3,8.8,8.5,53333,5.132000000000001,96667,120.5,232.83299,31.0
3.5,1,2,3,7.8,10.5,70.0,2443,98333,144.66701,244.0,9.0
0.0,3,2,3,7.9,11.8,63.51,4.94,137.0,159.5,218.0,6.5
0.0,2,2,1,8.5,10.5,56717,0.33,215.71400000000003,23.0,138.5,20829
2.4,0,2,1,9.1,5.4,61.05,308,105556,104.22200000000001,239.0,72.47800000000001
0.0,1,2,1,8.9,4.5,57.75,267,155.0,97333,235.66701,98.81700000000001
35.1,0,2,3,7.9,6.3,101875,3978,153.75,51.75,205875,2.0
1.0,3,2,3,7.8,8.2,85.98200000000001,6.2,421.66699000000006,31.333000000000002,211.66701,21.9
19.5,0,2,2,7.7,7.1,63625,3.14,122.5,28625,186.5,30.0
13.5,1,2,2,7.8,6.5,82111,2603,215.55599999999998,12.889000000000001,154125,5.2
11.5,0,2,1,7.7,5.3,65333,2.8989999999999996,371.11099,51.111000000000004,183.66701,17.2
3.0,3,2,1,7.5,8.8,58331,8.687999999999999,758.75,104.5,292625,3.0
1.6,2,2,1,7.6,10.0,49625,5456,308.75,38625,285.71398999999997,75.0
1.9,0,2,1,8.7,7.4,47778,2316,38111,24.666999999999998,201778,3.0
4.7,3,2,1,7.7,11.1,47229,8759,239.0,54.0,275.14301,65.7
0.0,2,2,3,8.3,11.1,41.5,4665,931.83301,39.0,124.2,13.1
7.3,0,2,3,8.43,6.0,40167,2.67,723.66699,60833,141.83299,25.0
0.0,3,2,3,8.16,11.1,32056,5694,461875,71.0,132.54601,15.0
8.0,0,2,3,8.7,9.8,5.888999999999999,1534,51.111000000000004,9667,17333,1.0
2.5,1,2,3,8.2,11.3,7.25,1875,25.0,6.5,26.0,0.3
1.0,3,2,3,8.5,11.8,7.837999999999999,1732,206.53798999999998,8692,16662,2.1
1.1,1,2,2,7.8,6.0,53425,381,118571,37857,102571,1.2
0.0,3,2,2,8.0,9.7,57848,461,217.75,37.0,86.99700000000001,3.0
0.0,0,2,3,9.7,10.8,222,406,10.0,22.444000000000003,10111,3.2780684372101803
1.2,3,2,3,8.6,11.62,1.5490000000000002,445,25.833000000000002,16833,18293,1.4
0.0,2,2,2,8.3,11.6,5.83,701,12727,3545,13.2,3.2
25.9,1,2,1,8.4,5.3,74667,3.9,131.66701,261.60001,432909,24.916999999999998
22.9,3,2,1,8.2,6.6,131.39999,4188,92.0,238.2,320.39999,6.8
0.0,0,2,2,8.2,9.4,45273,7195,345.45499,144.0,287.0,9882
6.6,1,2,2,8.1,7.1,42636,5078,56364,166.72701,262.72699,17.2
7.0,3,2,2,8.1,9.0,48.428999999999995,6.64,128571,181.0,222.28599999999997,6.428999999999999
0.0,0,2,3,7.4,10.7,11818,2.1630000000000003,170.90900000000002,36909,122.0,5555
10.3,1,2,3,8.3,9.7,10556,1921,65556,61.556000000000004,127.22200000000001,5233
0.0,3,2,3,8.6,10.7,12.0,2231,43.75,62625,89625,2.15
4.1,0,2,2,9.1,11.6,31.090999999999998,5099,246364,55.0,284.0,88255
10.1,1,2,2,9.0,6.9,28.333000000000002,2.9539999999999997,76667,102333,277.33301,110456
1.0,3,2,2,8.3,10.0,30125,3.7260000000000004,102.5,75875,177625,50225
1.4,0,2,3,8.5,10.1,10936,1335,236.0,34.635999999999996,72.9,11.1
25.3,1,2,3,8.3,7.7,10078,1212,103333,48667,82444,2.0
2.3,3,2,3,7.3,10.5,11088,1374,92375,48625,66.75,3.3
1.0,0,2,2,7.9,9.8,194.75,6513,3466.6599100000003,23.0,173.75,15.3
4.2,1,2,2,7.9,8.3,391.5,6045,380.0,173.0,317.0,5.5
2.1,2,2,2,8.0,11.9,130.67,6.54,196.0,75.0,84.0,4.5
6.1,1,2,2,8.0,9.2,39.0,4.86,120.0,187.0,213.0,2.0
0.0,2,2,2,8.1,11.7,35.66,5.13,46.5,49.0,88.5,2.5
2.0,0,2,1,8.43,9.9,37.6,826,124.0,32.5,115.0,11.7
0.0,3,2,1,8.1,6.2,39.0,0.6729999999999999,112.85700000000001,60.0,98.14299999999999,2.0
0.0,0,2,2,7.9,11.2,49.9,9773,505.0,67.5,143.75,5.45
1.4,3,2,2,8.1,6.2,51113,5099,175.0,132.5,197.14301,6.4
22.0,1,2,3,7.8,9.5,8.3,1.67,34.0,16.8,35.2,1.0
2.2,2,2,3,7.9,10.5,10207,2.3040000000000003,132.25,10583,23485,2.0
1.4,0,2,1,8.0,4.5,79077,8984,920.0,70.0,200231,19.4
6.8,1,2,1,7.6,6.3,81333,9715,196.66701,77333,147.83299,3.0
0.0,2,2,1,7.8,6.5,64093,7.74,1990.16003,47.5,276.0,8.1
0.0,0,2,3,8.22,8.1,41.25,1415,172.5,46667,123333,30.4
2.0,2,2,3,8.3,9.9,40226,1587,235.0,33.8,75207,23.8
1.0,0,2,3,8.47,9.0,46167,2102,84667,48.0,116.2,7.3
21.7,1,2,3,8.4,4.9,47.0,536,91833,109.0,188.66701,32.0
1.2,2,2,3,8.87,11.0,41.163000000000004,2273,54.75,39.0,72696,22.7
0.0,3,2,3,7.7,4.4,53.0,2.31,90.0,22.2,116.2,16.0
0.0,2,2,3,7.3,11.8,44205,45.65,24064.0,44.0,34.0,53.1
14.0,1,2,2,7.9,6.0,127833,2.68,176.66701,27.5,76333,2.1
0.0,2,2,2,7.8,10.53,100.83,5.41,486.5,24.0,58.373999999999995,27.5
0.0,1,3,1,7.8,3.2,94.0,4908,1131.66003,175.66701,361.0,28.566999999999997
0.0,3,3,1,7.6,4.9,69.0,3685,1495.0,234.5,236.0,22.5
0.0,1,3,1,8.6,3.6,50.0,376,134.0,54.1,125.8,26.8
1.8,2,3,1,8.4,10.6,19.22,1655,96833,20.666999999999998,54.916000000000004,20.6
0.0,0,3,1,8.3,11.5,26.0,1.87,62.5,30.75,75333,34.75
1.5,1,3,1,9.0,5.8,70.3623993111891,0.9,142.0,102.0,186.0,68.05
3.9,1,3,1,9.5,5.7,44.0,102,146.66701,151.33299,252.5,93.68299999999999
0.0,3,3,1,8.8,8.8,43.0,0.13,103333,180.66701,269.66699,92667
0.0,2,3,1,8.84,12.9,43.09,846,52.2,8.6,46438,81.54
0.0,0,3,3,7.3,9.9,16.0,4.82,101667,14667,85.0,2.0
1.4,2,3,3,7.4,10.68,22.35,5414,244.60001,66.4,171.27200000000002,3.8
2.9,1,3,1,9.1,4.3,82.85700000000001,0.86,137.27299,102.36399999999999,232.89999,54367
2.5,2,3,1,8.53,11.1,63292,1726,227.60001,84.3,146452,21.22
0.0,0,3,1,8.56,8.7,43.97,4053,643.0,221.89999,246.66701,14.7
0.0,2,3,1,8.06,8.3,38902,3678,627.27301,205636,219.90900000000002,6209
0.0,0,3,2,8.24,6.1,95367,3.5610000000000004,1168.0,236.39999,272.22198,20.578000000000003
4.9,3,3,2,7.91,6.2,151.83299,3923,1081.66003,346.16699,388.16699,5083
10.8,0,3,2,8.21,9.3,104818,3908,124.36399999999999,82.22200000000001,167.89999,5609
16.0,1,3,2,8.5,7.3,71444,2512,66667,64389,137778,9384
0.0,1,3,2,8.6,10.6,208364,4459,197.90900000000002,87333,194.10001,27.618000000000002
3.7,0,3,2,9.06,6.35,187183,3.3510000000000004,54778,159.16701,221278,20.8
12.9,2,3,3,8.7,10.7,4545,941,32727,16.0,21.3,1.1
13.6,1,3,3,8.1,10.7,3.5,1013,12.5,12.75,11.0,0.6
9.4,3,3,3,8.4,10.29,5.3260000000000005,996,53.846000000000004,7.667000000000001,14.354000000000001,0.8
0.0,1,3,2,8.6,10.1,2.1109999999999998,0.6629999999999999,11.110999999999999,3222,7.0,1.3
0.0,3,3,2,8.2,9.5,2.2,672,10.0,3.8,6.2,0.8
0.0,0,3,2,8.5,10.5,2.75,758,10.5,4.0,7654,4.0
19.7,3,3,2,8.3,10.0,3.86,866,32.0,6.0,16.0,2.86
4.0,0,3,3,8.0,10.9,9055,825,40.0,21.083000000000002,56091,14.270961224900901
2.0,3,3,3,8.1,10.2,7.6129999999999995,0.6990000000000001,32.5,26625,52875,2.0
2.1,0,3,1,8.7,10.8,39109,6225,161.81798999999998,104727,228364,46075
0.0,0,3,1,8.7,11.7,22455,3765,88182,41.3,85.4,17491
1.7,3,3,1,8.4,8.2,23.25,2805,43.75,51125,87125,14775
1.2,2,3,1,8.55,11.0,22.32,3.14,82.1,45.9,101455,18.33
10.2,1,3,2,8.5,7.6,12.777999999999999,1.8730000000000002,17778,50.888999999999996,127.0,24.555999999999997
1.2,2,3,2,8.7,11.4,15.540999999999999,2323,103.0,34.5,81558,5.62
1.0,0,3,2,8.4,10.5,12182,1.5190000000000001,65455,19727,50455,8155
8.8,1,3,2,8.2,8.2,7.332999999999999,1003,37778,19111,120889,5.111000000000001
2.9,2,3,2,8.58,11.1,23825,3617,72.6,51.111000000000004,91111,22.9
5.0,3,3,2,8.5,7.9,12444,2.5860000000000003,96667,19111,61.443999999999996,6.167000000000001
5.6,2,3,2,8.4,8.4,17375,3833,83.75,53625,79.75,2338
1.7,1,3,2,8.3,10.6,14.32,3.2,125333,35333,75904,4667
2.4,2,3,2,8.2,7.0,139989,2978,60.11,78333,140.22,31.738000000000003
9.0,3,3,2,8.5,6.7,82852,2.8,27.069000000000003,64.0,140517,18.3
