Rings,Sex,Length,Diameter,Height,WholeWeight,ShuckedWeight,VisceraWeight,ShellWeight
4,2,0.21,0.15,0.05,42,0.0175,0.0125,15
7,2,0.39,295,95,203,0.0875,45,75
9,0,0.47,0.37,0.12,0.5795,293,227,0.14
7,1,0.46,375,0.12,0.4605,0.1775,0.11,0.15
6,2,325,245,0.07,161,0.0755,0.0255,45
9,1,525,425,0.16,0.8355,0.3545,0.2135,245
8,2,0.52,0.41,0.12,595,0.2385,111,0.19
7,0,0.4,0.32,95,303,0.1335,0.06,0.1
10,0,485,0.36,0.13,0.5415,0.2595,96,0.16
10,1,0.47,0.36,0.12,0.4775,0.2105,0.1055,0.15
7,0,405,0.31,0.1,385,173,0.0915,0.11
8,1,0.5,0.4,0.14,0.6615,0.2565,0.1755,0.22
8,0,445,0.35,0.12,0.4425,192,0.0955,135
8,0,0.47,385,135,0.5895,0.2765,0.12,0.17
4,2,245,0.19,0.06,86,42,14,25
7,1,505,0.4,125,583,246,0.13,175
7,0,0.45,345,105,0.4115,0.18,0.1125,135
9,0,505,405,0.11,625,305,0.16,175
10,1,0.53,0.41,0.13,0.6965,302,0.1935,0.2
7,0,425,325,95,0.3785,0.1705,0.08,0.1
8,0,0.52,0.4,0.12,0.58,234,0.1315,185
8,0,475,355,0.12,0.48,234,0.1015,135
12,1,565,0.44,0.16,915,354,0.1935,0.32
13,1,595,495,185,1285,416,224,485
10,1,475,0.39,0.12,0.5305,0.2135,0.1155,0.17
6,2,0.31,235,0.07,151,63,0.0405,45
13,0,555,425,0.13,0.7665,264,168,275
8,1,0.4,0.32,0.11,353,0.1405,0.0985,0.1
20,1,595,475,0.17,1247,0.48,225,425
11,0,0.57,0.48,175,1185,474,261,0.38
13,1,605,0.45,195,1098,481,0.2895,315
15,1,0.6,475,0.15,1.0075,0.4425,221,0.28
9,0,595,475,0.14,944,0.3625,189,315
10,1,0.6,0.47,0.15,922,363,194,305
11,1,555,425,0.14,788,282,0.1595,285
14,1,615,475,0.17,1.1025,0.4695,0.2355,345
9,1,575,445,0.14,941,0.3845,252,285
12,0,0.62,0.51,175,1615,0.5105,192,675
16,1,0.52,425,165,0.9885,396,225,0.32
21,0,595,475,0.16,1.3175,408,234,0.58
14,0,0.58,0.45,0.14,1013,0.38,216,0.36
12,1,0.57,465,0.18,1295,339,0.2225,0.44
13,0,625,465,0.14,1195,0.4825,205,0.4
10,0,0.56,0.44,0.16,0.8645,0.3305,0.2075,0.26
9,1,0.46,355,0.13,517,0.2205,114,165
12,1,575,0.45,0.16,0.9775,0.3135,231,0.33
15,0,565,425,135,0.8115,341,0.1675,255
12,0,555,0.44,0.15,755,307,0.1525,0.26
13,0,595,465,175,1115,0.4015,254,0.39
10,1,625,495,165,1262,507,318,0.39
15,0,695,0.56,0.19,1494,588,0.3425,485
14,0,665,535,195,1606,0.5755,388,0.48
9,0,535,435,0.15,725,269,0.1385,0.25
8,0,0.47,375,0.13,523,214,132,145
7,0,0.47,0.37,0.13,0.5225,201,133,165
10,1,475,375,125,0.5785,0.2775,85,155
7,2,0.36,265,95,0.2315,105,46,75
15,0,0.55,435,145,843,328,0.1915,255
15,0,0.53,435,0.16,883,316,164,335
10,0,0.53,415,0.14,724,0.3105,0.1675,205
12,0,605,0.47,0.16,1.1735,0.4975,0.2405,345
12,1,0.52,0.41,155,727,291,0.1835,235
11,1,545,0.43,165,802,0.2935,183,0.28
10,1,0.5,0.4,125,0.6675,261,0.1315,0.22
9,1,0.51,0.39,135,0.6335,231,179,0.2
9,1,435,395,105,0.3635,136,98,0.13
9,0,495,395,125,0.5415,0.2375,0.1345,155
9,0,465,0.36,105,431,172,107,175
9,2,435,0.32,0.08,0.3325,0.1485,0.0635,105
9,0,425,0.35,105,393,0.13,63,165
11,1,545,0.41,125,0.6935,0.2975,146,0.21
11,1,0.53,415,115,0.5915,233,0.1585,0.18
11,1,0.49,375,135,0.6125,0.2555,102,0.22
10,0,0.44,0.34,105,402,0.1305,0.0955,165
9,1,0.56,0.43,0.15,0.8825,0.3465,172,0.31
8,0,405,305,85,0.2605,0.1145,0.0595,85
9,1,0.47,365,105,0.4205,163,0.1035,0.14
7,2,385,295,85,0.2535,103,0.0575,85
14,1,515,425,0.14,766,304,0.1725,255
6,0,0.37,265,75,214,0.09,51,0.07
6,2,0.36,0.28,0.08,0.1755,81,0.0505,0.07
5,2,0.27,195,0.06,73,0.0285,0.0235,0.03
6,2,375,275,0.09,238,0.1075,0.0545,0.07
8,2,385,0.29,85,0.2505,112,61,0.08
19,0,0.7,535,0.16,1.7255,0.63,0.2635,0.54
18,0,0.71,0.54,165,1959,0.7665,261,0.78
17,0,595,0.48,165,1262,0.4835,283,0.41
9,1,0.44,0.35,125,0.4035,175,63,129
7,1,325,0.26,0.09,0.1915,85,36,62
7,2,0.35,0.26,95,211,86,56,68
7,2,265,0.2,65,0.0975,0.04,0.0205,28
8,1,425,0.33,115,406,0.1635,81,0.1355
7,1,305,0.23,0.08,156,0.0675,0.0345,48
9,0,345,255,0.09,0.2005,94,0.0295,63
9,1,405,325,0.11,0.3555,151,63,117
9,0,375,285,95,253,96,0.0575,0.0925
10,1,565,445,155,826,341,0.2055,0.2475
10,1,0.55,0.45,145,741,295,0.1435,0.2665
16,0,0.65,0.52,0.19,1.3445,519,306,0.4465
11,0,0.56,455,155,797,0.34,0.19,0.2425
10,0,475,375,0.13,0.5175,0.2075,0.1165,0.17
10,1,0.49,0.38,125,549,245,0.1075,174
10,0,0.46,0.35,0.12,515,224,108,0.1565
9,2,0.28,205,0.08,127,52,39,42
5,2,175,0.13,55,0.0315,0.0105,0.0065,0.0125
4,2,0.17,0.13,95,0.03,13,8,0.01
15,0,0.59,475,145,1053,0.4415,262,325
9,1,605,0.5,185,1.1185,469,0.2585,335
10,1,635,515,0.19,1.3715,0.5065,305,0.45
10,1,605,485,0.16,1.0565,0.37,0.2355,355
12,1,565,0.45,135,0.9885,387,0.1495,0.31
10,0,515,405,0.13,722,0.32,131,0.21
13,1,575,0.46,0.19,994,392,0.2425,0.34
16,0,645,485,215,1514,546,0.2615,635
13,1,0.58,455,0.17,0.9075,374,0.2135,285
13,1,575,0.46,165,1124,0.2985,0.1785,0.44
13,0,605,465,165,1056,0.4215,0.2475,0.34
13,1,605,485,0.16,1222,0.53,0.2575,0.28
12,0,0.61,485,175,1.2445,544,297,345
18,1,725,0.56,0.21,2141,0.65,398,1005
16,1,0.65,545,0.23,1752,0.5605,0.2895,815
14,0,725,0.57,0.19,2.55,1.0705,483,725
20,1,725,575,175,2124,765,0.4515,0.85
20,1,0.68,0.57,205,1842,625,408,0.65
14,0,705,0.56,0.22,1981,0.8175,0.3085,0.76
12,1,0.68,515,175,1.6185,0.5125,409,0.62
14,0,695,0.55,215,1.9565,0.7125,541,0.59
7,1,0.53,395,145,775,308,169,255
8,0,525,435,155,1065,486,233,285
8,1,0.52,405,115,776,0.32,0.1845,0.22
5,2,235,0.16,0.04,48,0.0185,18,15
7,2,0.36,0.26,0.09,0.1785,0.0645,37,75
5,2,315,0.21,0.06,125,0.06,0.0375,35
8,2,315,245,85,0.1435,53,0.0475,0.05
4,2,225,0.16,45,0.0465,25,15,15
11,0,0.58,475,0.15,0.97,385,0.2165,0.35
14,0,0.57,0.48,0.18,0.9395,399,0.2,295
21,0,0.64,0.51,175,1368,515,266,0.57
10,1,0.56,0.45,0.16,1.0235,429,268,0.3
10,1,0.62,475,175,1.0165,0.4355,214,325
12,1,645,0.51,0.2,1.5675,621,367,0.46
13,0,0.62,0.49,0.19,1218,0.5455,0.2965,355
12,1,0.63,0.48,0.15,1.0525,392,336,285
10,1,0.63,0.5,185,1383,0.54,0.3315,0.38
11,1,0.63,0.48,0.16,1199,0.5265,335,315
9,1,585,0.46,0.17,0.9325,365,271,0.29
13,0,615,0.48,0.18,1.1595,0.4845,0.2165,325
12,0,0.61,485,0.17,1.0225,419,0.2405,0.36
14,0,0.58,0.45,0.15,927,276,0.1815,0.36
8,2,355,275,85,0.22,92,0.06,0.15
10,1,0.51,0.4,0.14,0.8145,459,0.1965,195
12,0,0.5,405,155,772,346,0.1535,245
11,1,505,0.41,0.15,644,285,145,0.21
16,0,0.64,0.5,185,1.3035,0.4445,0.2635,465
15,0,0.56,0.45,0.16,922,432,178,0.26
10,0,585,0.46,185,922,0.3635,213,285
9,1,0.45,345,0.12,0.4165,0.1655,95,135
13,0,0.5,0.4,165,825,254,205,285
12,1,0.5,0.4,145,0.63,234,0.1465,0.23
13,1,0.53,435,0.17,0.8155,0.2985,155,275
8,0,0.42,335,115,369,171,71,0.12
9,1,0.44,0.34,0.14,482,186,0.1085,0.16
9,2,0.4,0.3,0.11,315,109,67,0.12
8,2,435,0.34,0.11,0.3795,0.1495,85,0.12
13,1,525,415,0.17,0.8325,0.2755,0.1685,0.31
7,2,0.37,0.28,95,0.2655,122,52,0.08
10,1,0.49,365,145,0.6345,0.1995,0.1625,0.22
7,0,335,0.25,0.09,181,0.0755,0.0415,0.06
12,1,415,325,105,0.38,0.1595,0.0785,0.12
9,0,0.5,405,0.14,0.6155,241,0.1355,205
14,1,485,395,0.16,0.66,0.2475,128,235
10,0,0.55,405,0.14,0.8025,244,0.1635,255
8,0,0.45,0.35,0.13,0.46,174,111,135
7,2,405,0.3,0.12,324,0.1265,0.07,0.11
10,0,0.47,0.36,135,501,0.1665,115,165
8,1,415,305,0.13,0.32,0.1305,0.0755,105
9,1,445,325,125,455,0.1785,0.1125,0.14
11,1,0.47,0.35,145,0.5175,187,0.1235,0.18
9,1,0.49,375,0.15,0.5755,0.22,144,0.19
11,1,445,355,0.15,485,181,125,155
10,2,425,0.38,105,0.3265,0.1285,0.0785,0.1
9,1,0.5,0.37,135,0.45,0.1715,0.1055,155
7,1,0.39,0.29,125,0.3055,121,82,0.09
7,2,365,0.27,85,205,78,0.0485,0.07
11,1,0.58,465,165,1.1015,404,0.2095,0.35
15,1,0.53,415,0.16,783,0.2935,158,245
13,0,555,445,135,836,336,0.1625,275
14,0,565,0.44,175,0.9025,0.31,193,325
22,0,625,505,215,1.4455,496,287,435
7,2,275,215,75,0.1155,0.0485,29,35
12,2,0.44,0.35,135,435,0.1815,83,125
9,2,295,225,0.08,124,0.0485,32,0.04
1,2,75,55,0.01,2,1,0.0005,0.0015
3,2,0.13,0.1,0.03,13,0.0045,3,4
3,2,0.11,0.09,0.03,8,0.0025,2,3
5,2,0.16,0.12,35,21,0.0075,0.0045,5
17,0,565,425,0.16,0.9425,0.3495,0.2185,275
5,2,0.27,0.2,0.07,0.1,34,0.0245,35
5,2,0.23,175,65,0.0645,26,0.0105,0.02
8,2,0.3,0.23,0.08,0.1275,0.0435,0.0265,0.04
8,2,0.33,255,85,0.1655,63,39,0.06
10,2,0.35,0.26,85,174,0.0705,0.0345,0.06
13,2,0.32,245,0.08,0.1585,0.0635,0.0325,0.05
9,2,0.36,275,85,0.1975,0.0745,0.0415,0.07
7,2,305,245,75,156,0.0675,38,45
7,2,345,0.27,0.11,0.2135,82,0.0545,0.07
7,2,0.33,0.25,105,0.1715,0.0655,35,0.06
13,0,0.59,0.47,0.18,1.1235,0.4205,0.2805,0.36
12,1,595,455,155,1.0605,0.5135,0.2165,0.3
15,1,575,0.46,185,1094,0.4485,217,345
15,0,0.6,495,165,1.2415,485,0.2775,0.34
15,0,0.56,0.45,175,1011,0.3835,0.2065,0.37
19,0,0.56,0.45,185,1.07,0.3805,175,0.41
10,0,545,0.46,0.16,0.8975,341,0.1655,345
15,1,635,505,0.17,1415,605,297,365
13,1,0.59,475,0.16,1.1015,0.4775,0.2555,295
11,1,0.54,475,155,928,394,194,0.26
12,1,0.57,0.44,125,865,0.3675,0.1725,0.27
11,0,0.53,0.42,165,0.8945,319,239,245
4,2,245,195,0.06,95,0.0445,0.0245,26
6,0,0.27,0.2,0.08,0.1205,0.0465,28,0.04
11,1,0.46,0.38,0.13,639,0.3,0.1525,0.16
14,0,0.52,0.45,0.15,895,0.3615,186,235
8,0,0.35,275,0.11,0.2925,0.1225,0.0635,0.0905
9,0,0.47,0.39,0.15,0.6355,0.2185,0.0885,255
13,1,0.45,0.36,125,0.4995,0.2035,0.1,0.17
22,1,0.64,525,215,1779,0.4535,0.2855,0.55
16,0,0.59,0.5,0.2,1187,412,0.2705,0.37
14,0,0.62,485,205,1219,0.3875,0.2505,385
15,0,0.63,505,225,1525,0.56,0.3335,0.45
13,0,0.63,515,155,1259,0.4105,197,0.41
22,0,655,0.54,215,1844,0.7425,327,585
12,1,0.66,0.53,185,1.3485,493,245,0.49
18,0,0.61,0.5,0.24,1642,532,0.3345,0.69
20,0,635,525,205,1484,0.55,0.3115,0.43
11,1,515,425,135,712,0.2665,0.1605,0.25
15,1,535,415,185,0.8415,314,0.1585,0.3
7,2,0.36,285,105,0.2415,0.0915,57,75
9,1,455,355,0.12,0.4495,177,104,0.15
14,0,485,395,0.14,0.6295,0.2285,127,225
14,0,515,0.38,175,0.9565,325,158,0.31
10,1,535,415,0.17,879,295,0.1965,285
10,0,0.53,435,155,699,288,0.1595,205
17,1,495,0.4,155,0.6445,242,0.1325,205
9,0,0.44,355,125,0.4775,132,0.0815,0.19
10,1,535,435,0.16,0.8105,0.3155,0.1795,0.24
17,0,0.54,435,0.18,996,0.3835,226,325
12,1,565,505,0.21,1.2765,501,279,355
15,0,0.61,475,165,1116,428,0.2205,315
19,1,565,455,175,1013,342,207,0.35
26,0,0.6,495,195,1.0575,384,0.19,375
6,2,295,215,85,128,49,34,0.04
6,2,275,205,75,0.1105,45,0.0285,35
4,2,0.28,0.21,85,0.1065,39,0.0295,0.03
11,0,0.49,395,0.14,549,0.2215,0.1275,0.15
9,0,0.37,0.28,105,234,0.0905,0.0585,75
9,1,405,305,95,0.3485,0.1455,0.0895,0.1
13,1,0.54,435,175,892,322,174,335
8,0,0.37,0.28,0.1,252,0.1065,0.0595,74
6,0,0.36,0.27,0.1,217,0.0885,0.0495,0.0715
10,1,0.47,0.36,0.13,472,182,114,0.15
4,2,0.2,145,0.06,37,0.0125,0.0095,11
3,2,165,0.12,0.03,0.0215,7,5,5
13,0,645,515,0.24,1.5415,471,369,535
14,0,0.55,0.41,125,0.7605,0.2505,0.1635,195
10,0,0.57,435,145,0.9055,0.3925,0.2355,275
21,1,0.63,485,0.19,1.2435,0.4635,0.3055,0.39
14,0,0.56,0.44,0.14,971,443,0.2045,265
19,0,595,455,195,1.3305,0.4595,0.3235,345
23,1,0.62,0.47,0.2,1.2255,381,0.27,435
23,0,0.63,485,175,1.3,0.4335,0.2945,0.46
8,2,0.45,355,0.11,0.4585,194,67,0.14
14,1,635,535,0.19,1242,576,0.2475,0.39
10,0,0.45,0.35,0.1,0.3675,0.1465,0.1015,0.12
18,1,0.58,455,155,0.8365,315,0.1385,0.32
6,2,0.33,255,95,172,66,0.0255,0.06
5,2,265,0.21,0.06,0.0965,0.0425,22,0.03
4,2,0.19,145,0.04,38,0.0165,0.0065,15
11,0,385,0.31,0.1,0.2845,0.1065,75,0.1
5,2,265,205,0.07,0.1055,39,41,35
7,0,335,265,105,222,0.0935,56,75
7,2,355,275,0.09,251,97,53,0.08
7,2,0.32,255,0.1,0.1755,73,0.0415,65
12,0,0.51,0.4,0.13,0.6435,0.27,0.1665,205
8,0,0.36,295,105,241,0.0865,53,95
8,2,0.36,0.28,0.09,0.2255,0.0885,0.04,0.09
12,0,0.5,0.38,155,0.5955,0.2135,161,0.2
8,1,0.4,325,0.12,0.3185,134,0.0565,95
5,2,0.3,0.22,0.08,121,0.0475,42,35
5,2,235,175,0.04,0.0705,0.0335,15,0.02
16,1,0.74,0.6,195,1974,598,0.4085,0.71
11,0,0.62,465,0.19,1.3415,0.5705,0.3175,355
14,0,0.6,475,0.19,1.0875,403,0.2655,325
16,0,0.59,0.45,185,1283,473,276,425
13,0,0.62,475,185,1325,0.6045,325,0.33
15,1,565,0.45,195,1.0035,406,0.2505,285
14,0,575,455,145,1165,581,0.2275,0.3
14,1,0.62,0.51,205,1.3475,0.4775,0.2565,0.48
12,0,0.62,465,185,1274,579,0.3065,0.32
12,1,505,375,0.18,568,0.2325,0.1495,0.17
8,1,0.46,425,155,746,0.3005,152,0.24
13,0,0.49,0.39,0.14,707,0.2795,0.2185,0.18
9,1,525,0.42,0.16,756,0.2745,173,275
6,2,0.34,0.26,0.08,0.2,0.08,0.0555,55
8,2,375,305,115,0.2715,92,74,0.09
14,0,0.61,0.48,0.15,1.2,0.56,0.2455,0.28
8,1,0.61,495,185,1153,536,0.2905,245
22,1,585,0.45,0.17,0.8685,0.3325,0.1635,0.27
12,0,0.57,0.46,0.14,0.9535,0.4465,0.2065,245
9,0,0.58,455,0.17,0.93,408,259,0.22
16,0,635,515,0.17,1275,509,286,0.34
20,0,0.7,0.58,205,2.13,0.7415,0.49,0.58
13,0,675,525,185,1587,0.6935,336,395
18,1,645,525,0.19,1.8085,0.7035,0.3885,395
17,0,745,585,215,2499,0.9265,472,0.7
16,1,685,545,0.18,1768,0.7495,392,485
18,0,605,0.49,0.18,1227,0.48,287,0.35
12,1,0.59,465,0.15,997,392,246,0.34
20,1,0.65,525,175,1.4225,0.61,0.2995,445
16,1,0.6,0.48,0.15,1029,0.4085,0.2705,295
12,1,0.62,0.5,175,1186,0.4985,0.3015,0.35
19,0,0.63,515,0.16,1016,0.4215,244,355
11,0,0.58,465,145,887,0.4405,0.1655,265
10,1,0.58,455,0.12,1.0735,479,0.2735,265
12,0,0.63,0.49,0.18,1.13,458,0.2765,315
17,1,0.69,0.56,215,1719,0.68,299,0.47
16,1,0.65,545,165,1566,0.6645,0.3455,415
16,1,0.66,565,195,1.7605,692,0.3265,0.5
19,1,0.68,0.58,0.2,1787,585,453,0.6
14,1,0.7,575,0.17,1.31,0.5095,314,0.42
13,0,685,0.52,0.15,1343,0.4635,292,0.4
20,1,675,545,195,1.7345,0.6845,0.3695,605
11,0,0.63,0.49,0.19,1.1775,0.4935,0.3365,285
10,1,585,0.45,0.16,1077,0.4995,0.2875,0.25
15,0,565,465,175,995,0.3895,183,0.37
12,1,0.61,495,185,1.1085,0.3705,0.3135,0.33
15,0,605,0.47,0.18,1.1405,0.3755,0.2805,385
10,0,535,0.42,145,791,0.33,189,0.25
10,0,485,0.4,135,663,313,137,0.2
12,0,0.47,375,0.12,0.5565,226,122,195
10,0,545,425,135,0.8445,373,0.21,235
9,1,455,0.37,105,0.4925,216,0.1245,135
12,0,0.54,0.42,155,0.7385,0.3515,152,215
10,0,0.46,0.38,135,482,207,0.1225,145
14,0,0.49,0.42,125,609,239,0.1435,0.22
9,2,465,375,0.12,471,222,119,0.14
10,2,415,325,0.1,0.3215,0.1535,0.0595,105
10,0,475,375,125,593,277,115,0.18
10,1,0.47,375,125,0.5615,252,137,0.18
9,2,365,295,95,0.25,0.1075,0.0545,0.08
6,2,345,275,95,0.1995,0.0755,0.0535,0.07
11,2,0.39,0.31,0.1,302,116,64,115
10,1,0.5,395,0.14,0.7155,0.3165,176,0.24
8,0,0.47,0.38,145,0.5865,0.2385,144,185
12,0,535,0.44,0.15,0.6765,256,139,0.26
11,0,585,455,0.15,987,0.4355,0.2075,0.31
9,1,485,365,0.12,0.5885,0.27,131,175
9,0,515,455,135,0.7225,295,0.1625,235
7,1,435,325,0.11,0.4335,178,0.0985,155
10,1,515,415,0.14,0.6935,0.3115,152,0.2
7,2,0.44,345,0.12,365,0.1655,83,0.11
12,1,525,0.44,0.15,0.8425,0.3685,0.1985,0.24
8,0,0.45,355,115,479,0.2125,0.1045,0.15
16,0,0.59,485,0.12,911,0.39,182,0.29
11,0,555,0.45,145,915,0.4,246,285
8,0,0.57,0.44,95,827,0.3395,0.2215,235
15,0,0.59,0.5,165,1.1045,0.4565,0.2425,0.34
14,0,585,475,0.12,945,0.41,0.2115,0.28
11,1,0.58,0.46,0.12,0.9935,0.4625,0.2385,0.28
12,0,545,0.44,0.12,0.8565,0.3475,0.1715,0.24
14,1,605,495,0.17,1.2385,528,0.2465,0.39
15,1,0.62,0.47,0.14,1.0325,0.3605,224,0.36
20,1,0.63,0.5,0.17,1.3135,0.5595,267,0.4
20,0,0.63,515,165,1352,488,349,0.45
16,1,0.63,0.5,155,1005,367,199,0.36
13,0,545,0.41,0.14,625,223,0.16,235
14,1,0.67,0.54,165,1.5015,518,358,505
11,2,0.49,0.38,0.12,529,0.2165,139,155
13,1,0.49,0.39,135,0.5785,0.2465,123,0.2
8,2,0.29,225,0.07,101,36,0.0235,35
6,2,0.26,0.2,0.07,92,37,0.02,0.03
13,0,0.58,0.45,175,1068,425,203,0.32
18,1,0.61,485,165,1.0915,0.3935,0.2435,0.33
19,0,0.6,0.5,0.16,1015,0.3995,0.1735,0.33
21,1,0.56,455,125,943,344,129,375
18,1,575,0.45,0.17,1.0475,0.3775,0.1705,385
18,1,0.57,0.45,175,0.9555,0.38,0.1665,295
20,0,0.6,0.47,155,1036,0.4375,196,325
18,0,565,455,0.17,0.9065,342,156,0.32
22,0,545,0.42,0.14,0.7505,0.2475,0.13,255
13,2,0.44,345,0.1,366,122,0.0905,0.12
11,0,0.5,0.41,0.15,662,0.2815,137,0.22
7,2,0.36,275,95,217,84,0.0435,0.09
14,2,385,305,95,252,0.0915,55,0.09
9,0,0.39,0.3,0.09,0.3055,143,0.0645,85
13,0,0.5,415,165,0.6885,249,138,0.25
10,2,0.36,275,0.11,0.2335,95,0.0525,85
8,2,335,0.26,0.1,192,0.0785,0.0585,0.07
19,1,505,425,0.14,0.85,275,0.1625,285
10,2,395,295,0.1,0.2715,134,0.0325,85
10,1,0.41,325,105,0.3635,159,77,0.12
9,1,0.56,455,0.19,714,283,129,275
13,0,565,435,185,0.9815,329,136,0.39
16,0,565,455,185,0.9265,354,0.1575,375
12,0,605,0.5,175,1098,0.4765,232,375
18,1,565,455,0.15,0.8205,365,159,0.26
16,0,725,565,215,1891,0.6975,0.4725,0.58
16,1,675,535,0.16,1.41,592,0.3175,0.42
17,1,665,555,195,1.4385,581,354,0.36
11,1,565,0.49,155,0.9245,405,0.2195,255
14,1,645,0.55,175,1.2915,0.57,0.3045,0.33
11,0,575,0.47,0.14,0.8375,0.3485,0.1735,0.24
15,1,0.64,0.54,175,1221,0.51,259,0.39
9,2,0.36,0.28,105,199,0.0695,45,0.08
10,2,415,0.31,0.11,0.2965,123,57,0.0995
11,1,525,0.41,135,0.7085,293,0.1525,235
11,0,0.38,285,0.1,0.2665,115,61,75
12,1,585,465,0.17,0.9915,0.3865,224,265
6,2,0.24,185,0.07,0.0715,26,18,25
5,2,0.22,165,55,0.0545,0.0215,12,0.02
6,2,255,195,0.07,0.0735,0.0255,0.02,25
5,2,175,125,0.05,0.0235,8,0.0035,8
12,1,0.67,0.55,0.19,1.3905,0.5425,0.3035,0.4
13,0,655,0.53,195,1388,567,0.2735,0.41
17,1,0.68,0.55,0.21,1.7445,0.5975,305,625
21,0,675,555,0.2,1.4385,545,0.2665,465
9,1,0.53,0.44,135,0.7835,313,0.1715,0.2185
10,1,515,405,0.12,646,0.2895,0.1405,177
9,2,0.43,0.34,0.12,0.3575,151,0.0645,0.1045
11,1,0.52,405,0.12,627,0.2645,0.1415,181
10,1,545,415,0.16,0.7715,272,0.1455,0.2765
17,0,0.53,415,175,0.7395,261,0.1395,0.2645
9,1,465,0.35,115,421,0.1565,91,0.1345
17,0,665,0.54,175,1347,0.4955,254,415
21,0,735,0.59,225,1756,637,0.3405,0.58
16,0,0.66,545,185,1.32,0.5305,0.2635,455
29,1,0.7,585,185,1.8075,0.7055,0.3215,475
17,0,575,0.4,155,0.9325,0.3605,0.2445,0.3
15,0,0.57,465,125,849,0.3785,0.1765,0.24
19,1,0.58,0.46,0.15,0.9955,429,212,0.26
12,0,0.63,0.48,145,1.0115,0.4235,237,305
13,1,585,465,0.14,908,381,0.1615,315
11,0,0.55,0.45,0.13,0.92,378,0.2385,0.29
15,1,625,515,0.15,1.2415,0.5235,0.3065,0.36
11,0,0.54,0.42,135,0.8075,0.3485,0.1795,235
14,1,0.57,455,165,1.0595,0.44,0.2195,285
14,0,0.59,455,145,1073,475,0.19,285
13,0,0.58,0.46,0.13,921,357,181,0.29
11,1,655,0.51,155,1.2895,0.5345,0.2855,0.41
15,0,655,0.53,175,1.2635,486,0.2635,415
17,0,625,0.5,195,1369,0.5875,0.2185,0.37
15,1,625,0.5,0.15,953,0.3445,0.2235,305
12,1,0.64,0.52,175,1248,0.4245,0.2595,0.48
19,1,605,485,165,1.0105,435,209,0.3
11,1,615,525,155,1.0385,427,0.2315,345
10,0,555,0.45,175,874,0.3275,202,305
12,1,0.58,0.44,0.18,854,0.3665,0.1635,245
23,1,0.62,0.52,225,1.1835,378,0.27,395
15,1,0.62,0.47,225,1115,378,0.2145,0.36
13,1,0.6,505,0.19,1129,0.4385,256,0.36
17,1,625,485,0.19,1.1745,0.4385,0.2305,0.42
15,0,0.6,0.47,175,1105,0.4865,247,315
12,0,0.56,0.46,235,0.8395,0.3325,157,305
15,0,585,455,225,1055,0.3815,221,365
11,0,0.56,435,0.18,889,0.36,204,0.25
16,2,0.56,445,155,0.8735,0.3005,209,275
10,2,0.68,0.53,185,1.1095,439,245,0.34
10,1,455,0.35,0.14,0.5185,221,0.1265,135
10,1,0.49,0.38,145,0.6725,249,181,0.21
